,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,17.12,0.51,0.65,0.43,0.56,0.56,0.95,0.35,0.87,2.06,1.15,1.12,0.98,1.14,1.06,1.1
e_1,0.43,15.58,0.61,0.78,0.55,0.65,0.9,2.07,0.88,0.78,0.87,1.07,1.1,0.99,0.47,0.85
f_1,0.57,1.24,16.65,0.54,0.39,0.57,0.79,0.79,0.85,0.89,0.36,0.83,0.75,0.91,0.57,0.67
c_1,0.53,0.54,0.57,17.34,1.21,0.41,0.81,0.9,0.71,0.33,0.88,0.6,1.01,0.81,0.82,1.09
b_1,0.56,0.48,0.47,0.59,21.19,1.31,0.92,0.71,0.75,0.8,0.86,0.4,0.78,0.6,1.05,1.12
a_1,0.59,0.54,0.45,0.53,0.65,28.61,1.0,1.08,1.1,1.04,1.22,1.06,1.07,0.38,1.31,0.9
h_1,0.76,0.63,1.29,0.75,0.63,0.56,4.94,1.03,1.69,0.99,0.95,1.07,0.69,1.28,1.15,1.46
d_0,0.42,0.65,0.73,2.18,0.83,0.73,1.1,2.49,0.94,0.72,1.1,1.06,1.06,0.84,1.0,1.09
g_1,1.58,0.61,0.56,0.62,0.68,0.62,0.78,1.12,6.46,1.03,2.21,1.3,1.39,1.44,1.44,0.59
c_0,0.83,0.67,0.94,0.43,0.49,0.62,1.38,1.3,1.18,3.25,1.24,3.92,1.38,1.46,1.54,1.52
f_0,0.87,0.56,0.48,0.9,0.83,0.71,1.08,1.24,1.44,1.11,3.4,1.32,1.38,1.28,3.2,1.17
b_0,0.93,0.68,1.01,0.9,0.28,0.43,1.16,1.27,1.1,0.98,1.36,3.49,1.67,3.41,1.43,1.06
h_0,0.9,0.66,1.38,0.69,0.63,0.61,0.62,1.08,1.46,0.97,1.11,1.23,0.82,1.02,1.2,1.57
a_0,1.03,0.67,0.96,0.71,0.58,0.35,1.48,1.15,1.06,1.37,1.77,1.17,1.43,4.18,1.54,1.28
e_0,1.16,0.27,0.83,0.82,0.7,0.74,1.48,1.28,1.15,1.23,1.22,1.26,1.55,1.66,4.49,1.37
g_0,1.76,0.53,0.7,0.62,0.62,0.67,1.08,0.86,0.84,1.1,2.5,1.4,1.31,1.26,1.2,0.91
