,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.77,0.99,1.08,0.8,0.71,0.5,0.6,0.45,0.45,0.47,0.43,0.34,0.33,0.36,0.29
f_1,1.3,1.0,0.9,0.89,0.78,0.64,0.42,0.42,0.4,0.48,0.34,0.34,0.28,0.3,0.32,0.23
d_1,1.02,1.11,1.0,0.84,0.86,0.61,0.48,0.5,0.54,0.37,0.43,0.36,0.37,0.32,0.28,0.3
c_1,0.92,1.12,1.18,1.0,1.11,0.81,0.54,0.34,0.36,0.4,0.37,0.4,0.36,0.35,0.36,0.37
b_1,1.26,1.29,1.14,0.91,1.0,1.03,0.61,0.51,0.51,0.5,0.44,0.43,0.42,0.38,0.34,0.34
a_1,1.4,1.56,1.63,1.24,0.99,1.0,0.86,0.59,0.67,0.73,0.78,0.52,0.59,0.5,0.47,0.4
h_1,2.05,2.39,2.08,1.89,1.6,1.14,1.0,0.81,0.83,1.05,0.81,0.7,0.69,0.65,0.73,0.58
d_0,1.69,2.23,2.14,3.06,2.01,1.64,1.25,1.0,0.91,1.09,0.98,0.94,0.9,0.69,0.71,0.72
c_0,2.32,2.35,1.85,2.77,1.84,1.34,1.16,1.08,1.0,0.99,1.27,0.9,0.85,0.86,0.8,0.77
g_1,2.23,2.14,2.79,2.45,1.9,1.39,0.96,0.89,1.02,1.0,0.93,0.93,0.74,0.74,0.83,0.73
b_0,2.15,2.76,2.22,2.73,2.23,1.38,1.25,1.11,0.77,1.11,1.0,0.95,0.92,1.02,0.8,0.72
f_0,2.15,2.82,2.7,2.71,2.25,1.89,1.47,1.09,1.13,1.06,1.05,1.0,1.01,0.9,0.73,1.3
h_0,2.87,3.6,2.87,2.73,2.33,1.65,1.45,1.17,1.17,1.38,1.07,0.98,1.0,0.91,1.02,0.83
a_0,2.98,3.13,3.29,2.67,2.79,2.3,1.49,1.4,1.26,1.29,1.03,1.21,1.11,1.0,1.22,1.11
g_0,2.79,3.09,3.67,2.77,2.92,2.08,1.36,1.35,1.2,1.18,1.24,1.34,0.99,0.82,1.0,0.99
e_0,3.23,4.21,3.26,2.95,2.81,2.57,1.71,1.44,1.21,1.42,1.32,0.82,1.22,0.89,0.99,1.0
