,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.96,0.57,0.86,0.59,0.52,0.4,0.39,0.33,0.37,0.4,0.33,0.26,0.34,0.26,0.28,0.2
d_1,0.71,0.96,0.63,0.48,0.52,0.44,0.44,0.36,0.56,0.33,0.4,0.36,0.35,0.31,0.34,0.26
e_1,0.63,0.59,0.96,0.71,0.54,0.44,0.44,0.42,0.39,0.55,0.34,0.38,0.39,0.25,0.32,0.22
c_1,0.66,0.7,0.55,0.96,0.89,0.47,0.42,0.36,0.3,0.32,0.25,0.31,0.33,0.25,0.33,0.27
b_1,0.7,0.69,0.66,0.53,0.95,0.77,0.47,0.37,0.39,0.36,0.31,0.36,0.36,0.22,0.31,0.3
a_1,0.85,0.76,0.74,0.63,0.53,0.95,0.54,0.46,0.43,0.41,0.45,0.37,0.42,0.27,0.36,0.27
h_1,1.17,0.93,0.95,0.85,0.76,0.6,0.82,0.57,0.56,0.5,0.45,0.46,0.44,0.38,0.55,0.36
g_1,1.04,1.31,0.82,0.86,0.82,0.62,0.66,0.79,0.64,0.49,0.55,0.65,0.55,0.39,0.43,0.47
c_0,1.13,0.98,0.98,0.95,0.71,0.7,0.69,0.6,0.76,0.64,0.88,0.58,0.6,0.55,0.51,0.47
d_0,1.01,0.87,0.85,1.49,1.0,0.72,0.66,0.65,0.45,0.72,0.5,0.54,0.57,0.43,0.51,0.47
b_0,1.08,1.12,1.05,1.17,0.72,0.56,0.8,0.6,0.57,0.66,0.74,0.58,0.63,0.79,0.57,0.47
f_0,1.1,1.12,0.95,1.07,0.85,0.79,0.78,0.57,0.63,0.65,0.58,0.73,0.6,0.47,0.53,0.76
h_0,1.3,1.21,1.05,1.09,0.96,0.77,0.7,0.72,0.69,0.66,0.64,0.6,0.56,0.48,0.68,0.46
a_0,1.24,1.15,1.13,1.2,0.98,0.73,0.81,0.7,0.61,0.72,0.53,0.67,0.69,0.69,0.6,0.55
g_0,1.23,1.41,1.07,1.0,1.08,0.8,0.74,0.65,0.76,0.68,0.61,0.78,0.55,0.53,0.55,0.55
e_0,1.34,1.25,1.1,1.11,1.03,0.84,0.84,0.68,0.67,0.65,0.67,0.51,0.67,0.48,0.59,0.68
