,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.06,2.27,2.21,2.18,2.32,1.79,0.64,0.89,0.64,0.58,0.57,0.72,0.49,0.35,0.56,0.48
e_1,1.6,1.06,2.38,2.19,2.27,1.92,1.0,0.88,0.91,0.73,0.72,0.8,0.64,0.55,0.51,0.84
d_1,2.35,2.62,1.06,2.37,2.03,1.97,0.85,0.54,1.02,0.79,0.74,0.61,0.6,0.56,0.37,0.64
c_1,2.3,2.28,2.69,1.06,2.65,2.13,0.88,0.79,0.44,0.93,0.6,0.6,0.6,0.52,0.51,0.5
b_1,2.73,2.94,3.0,1.72,1.07,2.79,1.2,1.2,0.92,0.9,1.0,0.86,0.81,0.71,0.63,0.8
a_1,4.18,3.75,2.97,3.89,1.89,1.07,1.53,1.39,1.03,1.11,1.03,0.83,2.29,1.01,0.68,0.9
h_1,7.06,4.93,6.23,6.33,5.67,4.43,1.33,2.54,1.83,1.86,1.71,1.56,1.54,1.98,1.32,1.49
g_1,7.44,7.01,7.65,7.97,6.37,5.67,2.02,1.35,1.79,1.93,1.98,1.99,1.63,1.23,2.05,1.63
d_0,7.8,4.47,12.29,8.69,6.8,6.54,2.47,3.79,1.56,2.08,1.98,1.85,2.02,1.81,1.5,1.63
c_0,9.2,7.0,4.33,12.69,7.82,6.13,2.45,2.96,2.81,1.51,2.73,2.12,2.23,1.84,1.67,1.66
b_0,8.78,7.01,6.55,10.3,14.8,7.33,3.23,2.97,2.64,1.34,1.59,2.0,2.85,1.99,1.97,1.85
f_0,13.83,7.6,8.26,9.05,7.44,8.03,3.78,2.58,2.74,2.48,3.0,1.57,2.72,2.1,1.4,3.72
a_0,10.96,8.69,10.1,9.78,11.89,10.57,4.03,4.05,2.76,2.41,1.68,2.66,1.59,2.22,1.91,1.89
h_0,12.14,10.17,8.96,9.49,9.07,6.81,4.75,3.87,3.08,2.83,2.49,2.74,2.67,2.81,2.19,2.46
g_0,12.67,11.15,12.5,12.5,11.86,10.25,3.49,4.81,3.69,3.33,3.23,3.72,3.33,2.32,3.15,2.88
e_0,17.58,14.28,10.36,13.92,9.99,10.07,3.86,4.32,3.32,3.44,3.24,1.54,4.34,2.83,2.34,1.61
