,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.14,12.8,11.33,12.06,9.45,10.5,3.06,1.91,7.38,2.16,2.14,2.02,1.55,2.65,0.99,1.85
f_1,11.14,1.14,10.98,13.18,12.23,11.23,2.23,3.77,2.21,2.27,1.96,8.29,0.96,1.84,1.93,1.97
e_1,15.16,6.15,1.14,12.06,11.27,11.78,3.71,3.67,2.44,2.83,2.73,2.68,1.72,2.04,1.45,6.84
c_1,17.0,12.99,13.13,1.14,13.16,14.61,3.68,3.18,1.57,8.12,2.43,3.3,2.8,2.14,2.07,2.85
b_1,13.79,17.42,14.17,8.13,1.15,16.47,4.16,3.93,3.0,3.0,13.98,2.82,2.02,4.89,2.39,3.03
a_1,16.39,26.45,19.87,23.17,12.17,1.15,7.67,10.38,4.9,4.04,5.39,4.24,3.4,21.37,3.92,5.7
h_1,29.71,26.26,25.59,22.99,33.14,24.59,1.92,9.3,5.08,5.01,5.49,4.79,11.57,5.8,4.59,5.18
g_1,34.15,31.32,39.97,27.98,33.55,26.99,5.91,1.91,8.17,6.87,6.83,7.35,4.16,7.81,9.43,7.28
d_0,66.44,35.01,17.87,32.96,35.73,34.7,10.22,11.19,2.6,6.05,7.5,5.44,5.56,5.01,5.13,6.33
c_0,16.61,38.4,32.94,141.24,42.32,32.38,12.36,9.3,9.15,2.73,6.47,6.29,5.04,6.25,5.37,6.71
b_0,29.0,42.01,33.56,52.04,94.86,30.36,10.89,9.94,6.86,3.42,2.52,6.87,5.1,6.25,4.53,5.43
f_0,33.22,99.19,48.07,40.63,38.21,36.66,13.14,8.84,9.03,8.65,9.76,2.65,5.86,8.12,4.2,9.5
h_0,42.49,50.3,56.46,51.14,56.14,60.72,31.85,14.92,10.72,8.22,9.04,10.65,19.45,9.02,8.51,7.28
a_0,45.67,60.53,50.81,57.04,52.9,,14.28,19.35,13.45,9.25,6.76,8.03,7.51,2.92,9.18,14.25
g_0,59.9,55.8,68.4,78.05,58.53,57.15,14.79,,13.72,15.86,11.39,12.14,7.64,11.94,21.81,13.15
e_0,54.54,105.03,197.61,63.11,61.13,58.88,16.56,17.46,10.39,9.79,19.22,4.54,10.97,16.92,8.12,2.83
