,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.1,1.02,1.08,1.74,2.61,15.59,18.46,35.05,30.96,34.32,46.31,55.09,57.14,75.07,90.49
f_1,0.91,1.0,1.37,1.25,1.36,2.69,15.08,23.29,22.88,29.84,31.91,26.85,50.33,62.92,67.08,107.8
e_1,0.98,0.73,1.0,1.32,1.68,2.38,19.88,25.11,23.33,28.43,44.58,45.53,63.92,68.59,93.15,103.13
c_1,0.92,0.8,0.76,1.0,1.78,1.82,13.18,19.1,17.51,20.63,19.41,36.66,46.29,55.73,51.72,94.24
b_1,0.58,0.74,0.59,0.56,1.0,3.22,11.39,13.41,16.67,14.84,19.11,22.66,39.16,47.05,43.98,63.25
a_1,0.38,0.37,0.42,0.55,0.31,1.0,8.01,9.07,9.05,15.77,15.07,16.37,31.32,27.15,31.58,39.31
h_1,0.06,0.07,0.05,0.08,0.09,0.12,1.0,1.6,1.34,1.71,1.6,2.49,2.96,3.48,4.32,6.83
g_1,0.05,0.04,0.04,0.05,0.07,0.1,0.62,1.0,0.86,1.24,1.1,2.22,2.51,2.69,2.72,4.55
c_0,0.03,0.05,0.05,0.06,0.06,0.11,0.76,1.11,1.0,1.81,1.43,2.41,2.8,3.01,3.51,4.82
b_0,0.03,0.04,0.03,0.05,0.06,0.07,0.57,0.78,0.55,1.0,1.17,1.49,1.9,2.9,2.36,3.2
d_0,0.03,0.03,0.02,0.05,0.05,0.07,0.66,0.91,0.72,0.88,1.0,1.4,1.94,2.04,2.62,2.68
f_0,0.02,0.03,0.02,0.03,0.04,0.06,0.38,0.45,0.43,0.65,0.71,1.0,1.41,1.25,2.63,1.83
h_0,0.02,0.02,0.02,0.02,0.03,0.03,0.33,0.41,0.35,0.53,0.5,0.74,1.0,0.96,1.28,1.95
a_0,0.02,0.02,0.01,0.02,0.02,0.03,0.3,0.37,0.34,0.33,0.51,0.81,1.11,1.0,0.94,2.04
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.22,0.38,0.28,0.41,0.38,0.37,0.78,1.07,1.0,1.43
g_0,0.01,0.01,0.01,0.01,0.02,0.02,0.15,0.22,0.21,0.3,0.37,0.5,0.52,0.45,0.71,1.0
