,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.49,0.74,0.42,0.42,0.39,0.44,0.49,0.5,0.43,0.48,0.56,0.22,0.57,0.46,0.57,0.33
e_1,0.46,1.51,0.4,0.53,0.41,0.27,0.57,0.61,0.47,0.91,0.52,0.62,0.66,0.5,0.57,0.29
d_1,0.51,0.47,1.52,0.45,0.47,0.3,0.6,0.88,0.42,0.24,0.53,0.5,0.54,0.41,0.5,0.52
c_1,0.53,0.39,0.52,1.53,0.68,0.38,0.61,0.24,0.42,0.49,0.44,0.48,0.59,0.37,0.64,0.44
b_1,0.5,0.46,0.54,0.47,1.61,0.64,0.59,0.6,0.47,0.56,0.28,0.5,0.61,0.5,0.46,0.39
a_1,0.42,0.6,0.56,0.56,0.37,1.78,0.6,0.68,0.66,0.71,0.58,0.57,0.67,0.25,0.51,0.47
h_1,0.95,0.7,0.8,0.63,0.63,0.63,1.65,0.79,1.01,0.77,0.97,0.79,0.62,0.67,1.11,0.69
c_0,0.95,0.73,0.63,0.63,0.63,0.53,0.98,1.51,1.05,1.1,1.53,0.99,1.0,0.86,0.85,0.79
g_1,0.79,0.74,1.06,0.79,0.68,0.5,0.67,0.73,1.78,0.66,0.78,1.09,0.71,0.69,0.43,0.74
d_0,0.92,0.62,0.39,1.23,0.66,0.46,1.04,0.74,0.96,1.52,1.0,0.85,0.85,0.84,1.1,0.84
b_0,0.98,0.83,0.76,0.93,0.37,0.55,0.74,0.79,0.97,0.91,1.62,1.06,1.0,1.69,1.03,0.85
f_0,0.53,0.64,0.86,0.93,0.78,0.67,0.99,0.96,0.79,1.01,0.83,1.63,0.97,0.96,0.81,1.4
h_0,1.21,0.74,0.83,0.82,0.56,0.58,0.43,0.92,1.19,0.97,0.88,0.86,0.65,0.78,1.02,0.65
a_0,0.89,0.69,1.17,0.9,0.65,,0.99,0.93,0.79,1.03,0.67,0.99,1.26,1.64,0.92,0.99
g_0,0.71,0.78,1.18,0.77,0.81,0.56,0.85,0.98,0.71,0.92,0.85,1.41,0.94,0.74,0.63,0.79
e_0,1.07,0.44,0.92,0.94,0.94,0.71,0.89,1.2,0.74,1.03,0.86,0.93,1.13,0.6,0.93,1.7
