,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.62,1.03,1.13,1.09,0.78,0.97,1.11,1.36,1.07,0.95,0.94,0.87,,1.37,0.97
f_1,1.61,1.0,0.93,0.88,0.94,0.97,0.91,1.05,0.99,1.04,,1.05,1.05,0.97,0.69,0.92
d_1,0.97,1.08,1.0,0.92,0.94,0.95,0.95,0.65,,1.5,0.96,1.17,1.07,1.13,0.87,1.03
c_1,0.89,1.14,1.09,1.0,1.2,1.21,0.95,0.98,0.78,,1.02,1.04,0.92,0.95,1.04,1.15
b_1,0.92,1.06,1.06,0.83,1.0,1.21,1.04,1.07,0.85,1.09,0.83,,1.3,1.03,0.88,
a_1,1.28,1.03,1.06,0.82,0.82,1.0,1.07,1.0,1.03,1.16,1.0,1.02,0.88,,0.92,
h_1,1.03,1.1,1.05,1.06,0.96,0.94,1.0,0.91,0.97,1.07,1.12,1.0,,0.83,1.0,0.83
g_1,0.9,0.96,1.54,1.02,0.94,1.0,1.1,1.0,0.87,0.9,0.98,1.18,0.81,0.86,,0.97
d_0,0.73,1.01,,1.28,1.17,0.97,1.03,1.15,1.0,0.86,0.95,0.9,1.25,,0.96,0.9
c_0,0.94,0.96,0.67,,0.92,0.86,0.93,1.11,1.16,1.0,1.17,1.65,0.97,0.95,0.97,1.11
f_0,1.05,,1.05,0.98,1.2,1.0,0.89,1.02,1.05,0.85,1.0,0.65,0.96,1.73,0.76,1.16
b_0,1.06,0.95,0.86,0.96,,0.98,1.0,0.85,1.11,0.61,1.53,1.0,1.12,1.0,1.38,1.44
h_0,1.15,0.95,0.94,1.08,0.77,1.13,,1.24,0.8,1.03,1.04,0.89,,0.84,1.34,0.85
e_0,,1.03,0.88,1.05,0.97,,1.2,1.16,,1.05,0.58,1.0,1.19,1.0,0.97,0.96
g_0,0.73,1.46,1.15,0.96,1.14,1.09,1.0,,1.04,1.04,1.31,0.72,0.75,1.04,,
a_0,1.03,1.09,0.97,0.87,,,1.21,1.03,1.11,0.9,0.86,0.69,1.18,1.04,,1.0
