,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.68,2.72,1.37,1.56,1.33,1.2,5.36,4.87,6.68,7.25,6.45,3.1,9.84,5.65,8.78,5.28
e_1,1.84,5.74,1.2,1.96,1.2,1.41,5.96,5.41,7.22,13.98,7.73,7.05,11.25,8.7,10.04,4.23
d_1,1.76,1.27,6.27,1.26,1.44,1.5,5.99,5.91,13.56,3.35,8.57,8.12,12.18,7.87,11.64,7.17
c_1,1.38,1.34,1.52,6.79,3.13,1.26,5.07,5.58,2.85,6.88,5.45,8.11,10.96,7.41,9.6,7.6
b_1,1.33,1.49,1.65,1.53,8.35,3.33,4.84,5.41,5.51,5.76,3.01,6.11,10.01,5.7,10.4,7.63
a_1,1.39,1.64,2.04,1.24,1.51,11.42,5.72,5.0,6.75,5.44,7.77,8.25,12.84,4.09,13.94,8.73
h_1,2.28,1.78,1.93,1.89,1.94,1.74,15.8,9.33,7.67,8.76,8.71,9.33,9.74,7.88,17.14,10.54
g_1,1.98,1.39,3.01,1.95,1.75,1.63,6.34,19.96,7.88,6.31,8.5,11.34,12.67,9.05,8.51,10.83
c_0,1.98,1.91,2.11,1.28,1.52,1.9,8.14,7.6,16.35,6.8,18.34,10.73,13.98,9.52,17.73,11.06
d_0,1.78,1.72,1.05,3.83,1.97,1.83,6.67,6.26,6.8,16.28,7.58,10.09,11.67,7.33,13.02,10.01
b_0,2.07,1.8,1.78,2.03,1.09,1.33,7.78,7.08,9.29,9.82,18.72,10.05,16.14,21.31,17.4,11.08
f_0,1.29,1.24,2.19,2.07,2.02,2.42,7.32,7.9,9.31,8.87,9.83,19.58,13.06,10.07,12.42,22.09
h_0,2.77,1.65,1.92,2.0,1.55,1.74,4.74,8.67,8.94,8.01,9.15,8.33,7.27,10.42,18.94,9.91
a_0,2.34,1.39,2.09,1.77,2.15,1.17,8.02,7.46,8.23,10.02,7.24,11.82,14.51,24.75,13.68,12.67
g_0,1.46,1.65,3.14,1.87,1.49,1.94,6.63,5.5,9.62,7.7,10.23,14.73,14.17,9.12,9.23,8.85
e_0,2.1,1.17,1.95,2.06,2.11,1.94,6.57,6.46,9.11,9.68,9.9,9.38,16.03,9.85,16.67,28.07
