,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.84,1.54,1.04,0.81,1.05,0.6,0.71,0.63,0.85,,0.61,0.43,0.56,0.67,
d_1,1.19,1.0,1.18,0.84,0.92,,0.78,0.63,,0.9,0.68,0.59,0.68,0.4,0.58,0.41
e_1,0.65,0.85,1.0,0.99,1.04,0.88,0.79,0.59,0.79,0.78,0.71,0.74,0.71,0.6,0.43,
c_1,0.96,1.19,1.02,1.0,1.28,,0.65,0.62,0.56,,0.65,0.6,0.71,0.54,0.53,0.73
b_1,1.24,1.09,0.96,0.78,1.0,1.16,0.79,0.71,0.7,0.66,0.59,,0.6,0.68,,0.74
a_1,0.95,,1.13,,0.86,1.0,0.91,0.75,0.68,0.75,0.72,0.73,0.7,,,
h_1,1.66,1.29,1.27,1.54,1.27,1.1,1.0,1.3,0.84,0.73,0.83,0.85,,0.99,0.71,0.85
g_1,1.42,1.59,1.71,1.6,1.4,1.34,0.77,1.0,0.96,1.01,1.31,1.09,0.7,,0.71,0.87
d_0,1.59,,1.27,1.8,1.43,1.47,1.19,1.05,1.0,0.91,0.82,0.79,0.96,0.79,0.96,0.83
c_0,1.17,1.12,1.28,,1.51,1.34,1.37,0.99,1.09,1.0,1.02,1.5,1.09,0.79,1.12,0.87
f_0,,1.48,1.42,1.54,1.69,1.39,1.21,0.76,1.21,0.98,1.0,1.13,0.8,0.81,0.84,1.48
b_0,1.63,1.69,1.35,1.66,,1.38,1.17,0.92,1.26,0.67,0.89,1.0,1.23,0.86,1.33,0.95
h_0,2.35,1.47,1.41,1.41,1.67,1.42,,1.44,1.04,0.91,1.26,0.82,,1.43,0.78,0.8
g_0,1.79,2.47,1.66,1.84,1.47,,1.01,,1.26,1.27,1.24,1.16,0.7,,0.89,0.87
a_0,1.49,1.72,2.33,1.87,,,1.41,1.41,1.04,0.9,1.19,0.75,1.28,1.12,1.0,
e_0,,2.43,,1.37,1.36,,1.17,1.15,1.21,1.15,0.67,1.06,1.24,1.15,,1.0
