,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,4.62,2.65,4.81,4.97,3.45,1.33,0.83,1.48,1.0,0.78,0.97,0.63,0.87,4.11,0.86
d_1,6.6,0.43,4.35,4.34,4.05,4.27,1.13,3.72,0.75,0.78,0.78,0.86,0.49,0.84,0.91,0.41
f_1,4.54,4.0,0.43,4.54,3.96,4.3,0.88,0.89,1.53,0.73,0.94,4.31,0.52,0.87,0.84,0.61
c_1,3.89,5.65,4.61,0.42,5.55,3.71,1.31,0.51,1.16,4.42,0.82,0.96,0.6,0.78,1.14,0.81
b_1,4.95,5.06,5.02,2.47,0.39,5.81,1.45,1.32,1.52,1.11,5.42,1.09,0.95,1.2,1.35,0.71
a_1,7.85,6.35,6.6,6.3,2.88,0.32,1.69,1.23,1.67,1.53,1.95,1.17,0.74,7.25,1.33,0.83
h_1,4.54,5.04,5.38,4.98,4.76,5.7,0.36,0.95,1.61,1.05,0.89,0.87,2.23,0.99,0.72,0.68
d_0,2.71,13.66,5.5,5.28,5.75,7.67,1.95,0.47,1.74,1.19,1.01,1.19,0.86,0.98,0.77,0.9
g_1,5.78,5.3,6.66,6.44,4.81,5.77,1.34,1.16,0.33,1.07,1.41,0.89,0.66,0.91,0.89,1.94
c_0,5.46,2.69,6.18,31.26,5.85,5.32,2.14,1.52,1.64,0.43,1.19,0.95,1.29,1.13,0.94,0.68
b_0,5.65,5.98,5.37,7.6,16.89,6.95,1.36,1.09,1.96,0.68,0.41,0.94,1.04,0.99,0.86,0.79
f_0,5.04,4.7,21.27,7.01,6.47,6.82,1.81,1.48,1.01,1.03,1.07,0.38,1.09,1.34,1.3,0.7
h_0,6.56,6.7,6.1,8.49,7.09,7.57,7.59,1.31,3.08,1.23,1.14,1.52,2.14,0.95,0.97,0.8
a_0,6.12,7.62,6.45,7.34,13.49,,2.12,1.7,2.56,1.36,0.71,1.39,0.94,0.38,1.1,1.35
e_0,12.1,6.86,9.46,8.1,8.66,8.65,1.77,1.67,2.4,1.56,1.75,0.69,1.06,1.3,0.34,1.04
g_0,8.7,6.03,8.78,6.53,8.59,7.98,2.24,1.87,5.71,1.65,1.87,1.8,0.77,1.86,1.14,3.03
