,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.62,1.69,1.4,1.89,1.38,1.28,5.57,5.19,13.02,7.36,7.58,7.65,10.02,7.3,12.4,4.98
f_1,2.68,5.81,1.38,1.37,1.34,1.46,4.95,4.86,6.28,6.22,8.2,2.64,10.33,6.88,8.89,6.24
d_1,1.47,1.71,6.63,1.28,1.28,1.63,5.78,5.65,3.6,12.83,8.14,7.54,12.51,7.85,10.81,7.5
c_1,1.38,1.37,1.44,6.64,3.08,1.16,5.57,5.49,7.63,3.29,4.53,7.92,10.55,7.23,9.3,8.2
b_1,1.36,1.72,1.64,1.29,7.83,3.05,5.0,5.28,5.42,7.08,3.02,6.89,11.03,6.11,8.04,7.86
a_1,1.37,1.44,1.81,1.52,1.51,11.4,5.72,5.23,6.62,7.63,6.97,8.7,11.9,3.07,11.01,8.36
h_1,1.61,2.56,1.81,1.92,1.83,1.35,16.57,9.19,8.87,7.71,10.14,7.71,8.87,10.08,16.99,8.98
g_1,1.57,1.6,2.95,1.82,1.72,1.86,7.35,19.62,6.48,6.02,8.98,13.78,12.98,9.25,9.92,11.23
d_0,1.66,1.87,0.97,3.73,2.11,1.62,6.54,5.6,15.5,6.92,8.38,7.77,15.32,9.56,12.63,9.52
c_0,2.03,2.2,1.81,1.38,1.34,1.96,6.83,7.24,9.73,17.11,19.39,7.74,15.55,9.38,15.27,11.63
b_0,1.93,1.89,2.19,2.23,0.84,1.09,8.3,7.71,8.75,8.95,19.57,9.13,12.66,20.18,15.22,10.5
f_0,1.52,1.01,1.99,2.36,1.81,2.06,7.55,8.45,8.52,9.1,10.3,20.64,16.48,9.95,16.92,21.74
h_0,1.89,2.72,2.05,1.85,1.68,1.72,4.17,8.97,7.13,7.46,9.6,8.45,6.87,8.83,20.94,9.18
a_0,1.74,2.03,2.33,2.37,1.4,0.82,7.09,6.94,9.74,9.28,10.66,8.92,15.56,26.26,14.37,9.39
g_0,1.66,2.04,3.01,1.76,1.46,1.98,6.12,5.06,6.11,8.2,11.61,13.41,13.79,10.4,11.62,11.14
e_0,1.0,1.97,2.27,2.19,2.19,1.97,7.63,7.17,10.07,9.85,10.64,9.91,15.12,11.19,15.01,29.08
