,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.43,0.61,0.88,1.12,0.88,0.99,0.52,0.5,0.51,0.38,0.34,0.38,0.34,0.73,0.42,0.42
f_1,0.98,0.41,0.83,0.84,0.94,0.7,0.36,0.4,0.53,0.34,0.37,0.45,0.26,0.3,0.36,0.35
d_1,0.99,0.96,0.39,0.86,0.88,0.78,0.46,0.73,0.33,0.4,0.36,0.39,0.31,0.43,0.34,0.24
c_1,0.67,0.91,1.0,0.38,1.11,0.88,0.46,0.22,0.52,0.54,0.43,0.44,0.34,0.34,0.35,0.27
b_1,0.91,0.88,0.94,0.55,0.37,1.21,0.47,0.42,0.52,0.45,0.88,0.45,0.46,0.4,0.53,0.35
a_1,0.9,1.03,1.02,0.88,0.49,0.3,0.55,0.47,0.46,0.53,0.52,0.39,0.38,0.48,0.77,0.47
h_1,0.73,0.94,0.77,0.78,0.76,0.64,0.25,0.4,0.5,0.34,0.36,0.29,0.42,0.33,0.34,0.3
d_0,0.47,0.85,1.01,1.14,0.8,0.75,0.45,0.26,0.46,0.42,0.35,0.36,0.29,0.3,0.36,0.35
g_1,0.77,0.85,0.84,0.74,0.78,0.81,0.33,0.37,0.22,0.35,0.37,0.36,0.24,0.39,0.33,0.35
c_0,0.96,0.84,0.49,1.47,0.86,0.6,0.48,0.4,0.4,0.25,0.42,0.36,0.28,0.36,0.36,0.3
b_0,0.78,0.72,0.67,0.89,1.12,0.75,0.44,0.4,0.45,0.23,0.23,0.35,0.3,0.37,0.39,0.33
f_0,0.8,1.29,0.71,0.85,0.73,0.74,0.49,0.32,0.29,0.37,0.37,0.23,0.3,0.36,0.35,0.22
h_0,0.73,0.87,0.75,0.82,0.62,0.77,0.5,0.36,0.43,0.36,0.36,0.35,0.4,0.37,0.3,0.35
e_0,0.79,1.11,0.67,0.94,0.82,0.68,0.42,0.35,0.36,0.35,0.33,0.22,0.29,0.19,0.31,0.28
a_0,0.74,0.8,0.74,0.95,0.87,1.12,0.44,0.36,0.35,0.31,0.19,0.43,0.32,0.4,0.19,0.3
g_0,0.75,0.85,0.85,0.78,0.76,0.66,0.37,0.32,0.6,0.35,0.4,0.39,0.23,0.33,0.35,0.36
