,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,11.76,0.67,0.5,0.87,0.66,0.67,0.92,0.82,2.28,0.84,0.96,0.88,1.06,0.95,0.61,0.93
f_1,1.47,12.22,0.54,0.67,0.65,0.47,0.78,0.76,0.94,0.87,0.98,0.54,1.0,0.78,0.51,1.01
d_1,0.65,0.74,16.94,0.43,0.46,0.64,1.02,1.04,0.46,2.76,1.27,1.14,1.04,1.32,1.12,0.92
c_1,0.51,0.55,0.63,14.12,1.76,0.59,0.94,0.79,0.85,0.36,0.66,0.99,0.84,0.85,1.23,0.82
b_1,0.51,0.58,0.78,0.83,14.18,1.7,0.83,1.06,0.81,0.74,0.52,0.99,0.87,0.73,0.99,0.88
a_1,0.63,0.7,0.73,0.66,0.66,24.3,1.08,0.77,0.94,1.03,1.0,1.16,1.14,0.5,1.04,1.22
h_1,0.61,1.21,0.86,0.69,0.6,0.76,3.77,1.66,0.73,0.94,1.11,1.13,0.7,1.11,1.19,1.54
g_1,0.46,0.73,1.94,0.76,0.5,0.69,0.95,5.05,0.72,1.11,1.21,2.21,0.99,1.05,1.48,0.78
d_0,0.68,0.75,0.42,2.02,0.92,0.64,1.25,1.11,2.17,0.59,1.1,0.99,1.02,1.06,1.07,1.05
c_0,0.72,1.08,0.86,0.56,0.51,0.64,1.32,1.19,0.89,2.34,2.94,1.09,1.25,1.55,1.39,1.11
b_0,0.86,0.91,0.83,0.71,0.39,0.67,1.13,1.22,1.07,0.99,2.65,0.82,1.09,3.25,1.03,1.18
f_0,0.49,0.56,1.29,0.64,0.73,0.83,1.23,1.16,0.97,1.3,1.38,3.01,1.38,1.26,3.32,1.5
h_0,0.72,1.23,0.86,0.73,0.73,0.56,0.67,1.49,1.12,1.03,0.96,1.06,0.7,0.77,1.03,1.67
a_0,0.83,1.03,0.97,0.65,0.56,0.47,0.91,1.17,0.8,1.27,1.07,0.97,1.47,4.03,1.31,1.26
e_0,0.44,1.0,0.79,0.68,0.91,0.84,1.32,1.14,0.96,1.11,1.44,1.1,1.59,1.22,3.42,1.13
g_0,0.67,0.67,1.61,0.74,0.58,0.7,1.11,0.87,0.89,0.97,1.12,1.98,1.06,1.28,1.37,0.87
