,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.42,0.41,0.25,0.26,0.24,0.3,0.46,0.63,0.68,0.71,0.61,,0.59,0.76,,0.83
e_1,0.24,2.45,0.21,0.29,0.38,0.26,0.57,0.41,0.62,0.97,0.48,0.61,0.7,0.76,,0.73
d_1,0.31,0.3,2.48,0.27,0.27,0.28,0.54,0.45,0.9,,0.58,0.75,0.62,0.77,0.57,0.69
c_1,0.25,0.28,0.29,2.51,0.47,0.32,0.58,0.4,,0.64,0.47,0.58,0.55,0.91,0.51,0.85
b_1,0.33,0.24,0.29,0.24,2.63,0.38,0.51,0.43,0.55,0.55,,0.65,0.7,0.98,0.9,0.78
a_1,0.3,0.27,0.3,0.24,0.26,3.21,0.57,0.6,0.49,0.74,0.45,0.59,,0.86,,0.86
h_1,0.75,0.5,0.57,0.49,0.55,0.37,3.92,1.52,1.52,0.88,1.14,1.11,0.94,,0.94,1.84
g_1,0.46,0.48,0.84,0.67,0.51,0.42,0.82,4.23,0.88,0.99,1.15,2.07,1.22,1.32,1.36,
c_0,0.52,0.62,0.58,,0.61,0.73,1.17,1.46,3.57,1.44,2.36,1.5,1.48,1.57,1.09,1.31
d_0,0.58,0.57,,0.97,0.67,0.61,1.94,1.04,1.01,3.56,1.51,1.22,1.23,1.56,1.01,1.75
b_0,0.7,0.78,0.64,0.59,,0.58,1.14,1.26,1.18,1.22,3.8,1.57,1.99,1.75,1.25,1.61
f_0,,0.64,0.65,0.7,0.46,0.67,1.11,1.03,1.65,1.51,1.32,4.02,1.42,1.87,2.8,1.24
a_0,0.59,0.5,0.68,0.64,0.54,,1.35,0.97,1.35,1.5,1.43,1.23,4.48,2.33,,1.81
h_0,0.92,0.71,0.7,0.65,0.63,0.66,,2.33,1.84,1.78,1.87,1.19,1.45,,1.95,2.62
e_0,,,0.63,0.69,0.43,,1.52,1.29,1.64,1.79,1.43,1.07,,1.67,4.85,1.82
g_0,0.67,0.81,1.0,0.77,0.74,0.78,1.45,,1.93,1.22,2.03,2.31,1.49,1.57,1.7,
