,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,1.08,0.86,0.99,0.71,0.49,0.46,0.58,0.36,0.42,0.36,0.32,0.34,0.35,0.33
f_1,1.26,1.0,0.97,0.85,0.91,0.61,0.43,0.48,0.45,0.34,0.36,0.34,0.31,0.3,0.24,0.3
c_1,0.95,1.04,1.0,1.09,1.17,0.72,0.52,0.46,0.34,0.38,0.39,0.36,0.35,0.33,0.33,0.29
d_1,1.16,1.19,0.93,1.0,0.92,0.69,0.52,0.4,0.46,0.52,0.41,0.42,0.4,0.36,0.33,0.26
b_1,1.03,1.1,0.86,1.1,1.0,1.06,0.56,0.48,0.49,0.47,0.41,0.43,0.33,0.38,0.35,0.35
a_1,1.39,1.6,1.37,1.36,0.97,1.0,0.79,0.64,0.62,0.55,0.53,0.67,0.49,0.53,0.49,0.44
h_1,2.0,2.34,1.91,1.92,1.77,1.23,1.0,1.05,0.83,0.7,0.72,0.73,0.6,0.67,0.57,0.66
g_1,2.19,2.18,2.14,2.51,2.0,1.57,0.96,1.0,0.86,0.79,1.0,0.83,0.77,0.69,0.69,0.65
d_0,1.76,2.23,2.87,2.17,2.04,1.57,1.21,1.15,1.0,0.79,0.82,0.87,0.84,0.72,0.78,0.73
c_0,2.72,2.93,2.54,2.02,2.12,1.69,1.47,1.2,1.22,1.0,0.96,1.25,0.97,0.88,0.76,0.85
f_0,2.38,2.89,2.59,2.54,2.33,1.76,1.34,0.96,1.2,0.98,1.0,1.05,0.93,0.93,1.22,0.65
b_0,2.87,2.91,2.68,2.41,2.31,1.52,1.34,1.24,1.11,0.8,0.95,1.0,1.23,0.86,0.72,0.84
a_0,2.97,3.1,2.99,2.49,2.86,1.89,1.58,1.33,1.24,1.03,1.09,0.84,1.0,0.97,1.02,0.82
h_0,2.89,3.23,3.05,2.71,2.63,1.89,1.5,1.48,1.41,1.15,1.03,1.14,1.04,1.0,0.86,1.01
e_0,2.95,4.0,3.04,2.83,2.72,2.05,1.79,1.39,1.34,1.27,0.86,1.27,1.0,1.13,1.01,0.9
g_0,3.02,3.3,3.48,3.67,2.96,2.2,1.53,1.52,1.45,1.28,1.57,1.24,1.15,0.97,1.19,1.0
