,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,1.17,0.86,0.98,0.85,0.7,0.83,0.56,0.6,0.64,0.67,0.58,0.57,0.63,0.64
f_1,1.22,1.0,0.97,0.9,0.86,0.69,0.55,0.7,0.56,0.57,0.58,0.51,0.49,0.56,0.47,0.54
c_1,0.85,1.02,1.0,1.17,1.24,0.84,0.73,0.5,0.58,0.5,0.59,0.57,0.58,0.51,0.59,0.54
d_1,1.17,1.09,0.85,1.0,0.93,0.9,0.7,0.68,0.83,0.71,0.54,0.64,0.59,0.57,0.53,0.48
b_1,1.02,1.15,0.82,1.06,1.0,1.36,0.81,0.7,0.76,0.73,0.67,0.67,0.65,0.61,0.61,0.53
a_1,1.18,1.41,1.16,1.1,0.78,1.0,0.91,0.79,0.86,0.91,0.79,0.69,0.84,0.78,0.7,0.74
h_1,1.42,1.78,1.35,1.43,1.28,1.06,1.0,0.88,0.93,0.87,1.0,0.89,0.8,0.79,0.84,0.87
d_0,1.2,1.46,1.99,1.5,1.48,1.24,1.15,1.0,0.78,0.86,1.08,0.88,0.9,0.82,0.95,0.95
c_0,1.73,1.69,1.74,1.22,1.28,1.17,1.04,1.25,1.0,1.19,1.02,0.99,1.01,0.98,0.85,0.8
b_0,1.63,1.77,2.08,1.38,1.46,1.07,1.18,1.14,0.85,1.0,1.09,0.95,0.98,1.32,0.95,0.99
g_1,1.61,1.74,1.67,1.76,1.54,1.19,1.06,0.98,0.97,0.93,1.0,1.06,0.79,0.92,0.89,0.86
f_0,1.49,1.91,1.75,1.64,1.52,1.39,1.18,1.13,1.03,1.01,0.96,1.0,1.03,0.89,1.35,0.74
h_0,1.71,2.02,1.74,1.72,1.47,1.17,1.29,1.06,1.01,1.08,1.23,0.96,1.0,1.03,0.88,1.06
a_0,1.78,1.76,2.02,1.69,1.53,1.22,1.33,1.24,0.98,0.75,1.12,1.05,0.97,1.0,1.06,1.0
e_0,1.68,2.02,1.7,1.87,1.62,1.41,1.17,1.1,1.2,1.11,1.18,0.77,1.15,1.03,1.0,0.95
g_0,1.66,1.83,1.8,2.08,1.74,1.35,1.16,1.11,1.15,1.01,1.15,1.34,0.94,1.02,1.03,1.0
