,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.45,1.08,1.97,2.15,2.19,2.22,0.69,0.63,0.53,0.39,0.43,0.53,0.31,0.44,0.39,1.01
f_1,1.77,0.44,1.72,2.31,1.71,2.12,0.36,0.64,0.43,0.35,0.36,1.07,0.2,0.39,0.25,0.37
d_1,2.22,2.3,0.41,2.26,1.94,1.76,0.63,0.38,1.25,0.44,0.38,0.43,0.28,0.42,0.2,0.41
c_1,1.77,2.4,2.43,0.41,2.45,2.0,0.61,0.58,0.22,0.84,0.38,0.35,0.3,0.36,0.34,0.4
b_1,2.44,2.64,2.81,1.14,0.38,2.37,0.75,0.78,0.45,0.64,1.64,0.5,0.35,0.57,0.43,0.44
a_1,3.25,2.86,2.49,3.61,1.47,0.32,1.14,0.89,0.68,0.67,0.92,0.59,0.46,1.45,0.47,0.54
h_1,3.15,3.68,3.21,3.2,3.53,3.19,0.34,0.85,0.66,0.67,0.57,0.68,0.99,0.71,0.52,0.53
g_1,3.84,3.74,3.49,3.49,4.01,3.8,0.75,0.31,0.96,0.77,0.67,0.66,0.43,0.77,0.78,0.66
d_0,2.02,4.31,6.58,3.63,4.6,3.71,1.01,1.31,0.4,0.72,0.8,0.7,0.68,0.68,0.79,0.59
c_0,3.62,4.11,2.14,7.74,3.59,3.09,1.21,1.66,0.96,0.37,0.97,0.76,0.65,0.75,0.63,0.77
b_0,3.82,3.71,3.54,7.67,10.06,4.03,1.01,1.1,0.81,0.39,0.35,0.72,0.56,0.77,0.43,0.66
f_0,3.78,9.84,3.63,3.54,3.8,3.23,1.38,0.71,1.03,1.0,0.8,0.34,0.56,0.93,0.42,0.68
h_0,5.16,4.38,3.99,4.55,4.22,3.9,2.08,1.31,0.85,0.82,0.98,0.79,1.3,0.81,0.66,0.72
a_0,4.75,5.23,4.35,5.27,5.77,11.11,1.24,1.33,0.93,1.01,0.5,0.95,0.76,0.31,0.64,0.83
g_0,4.79,6.06,4.92,5.76,5.91,4.56,1.13,1.95,1.12,0.93,0.89,0.88,0.45,1.04,0.86,0.72
e_0,7.82,7.2,5.57,4.57,5.36,5.19,1.8,1.38,1.09,0.87,1.16,0.51,0.86,1.28,0.55,0.31
