,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.36,2.06,1.97,1.91,1.66,0.87,0.6,0.85,0.75,0.64,0.73,0.45,0.58,0.9,0.49
f_1,2.23,1.06,1.96,2.02,1.76,1.77,0.58,0.62,0.74,0.58,0.57,0.82,0.36,0.53,0.44,0.45
d_1,2.16,2.31,1.06,2.02,1.95,1.95,0.8,0.75,0.59,0.89,0.56,0.56,0.48,0.52,0.65,0.34
c_1,2.11,2.59,2.78,1.06,2.63,1.86,0.93,1.03,0.97,0.44,0.75,0.63,0.55,0.6,0.61,0.53
b_1,2.83,3.03,2.74,1.64,1.07,2.99,1.1,0.85,0.8,0.82,0.86,0.74,0.61,0.7,0.74,0.64
a_1,3.59,3.25,2.89,3.62,1.68,1.07,1.32,1.07,1.06,1.04,1.31,1.02,0.98,2.04,0.84,0.89
h_1,5.18,6.66,5.39,5.31,4.79,4.39,1.31,1.51,2.3,1.71,1.62,1.58,1.6,1.39,1.26,1.43
c_0,6.87,7.08,4.1,8.18,6.68,5.51,2.67,1.44,2.28,2.11,2.05,1.74,1.64,1.75,1.52,1.38
g_1,6.81,7.91,7.11,5.98,7.02,5.03,1.91,1.88,1.33,1.84,1.81,2.12,1.16,1.88,1.5,1.77
d_0,4.49,6.84,8.02,7.94,6.73,6.58,2.64,2.01,2.82,1.53,2.19,1.73,1.6,1.68,1.89,1.61
b_0,7.22,7.27,7.0,6.94,9.35,5.16,2.59,1.39,2.44,2.03,1.49,1.94,1.5,2.64,1.71,1.43
f_0,6.82,11.64,7.72,7.93,6.89,5.35,2.61,2.13,1.95,2.37,2.12,1.48,1.9,2.14,2.12,1.26
h_0,8.82,9.62,8.94,8.68,8.17,6.5,4.24,2.4,4.02,2.5,2.77,2.44,2.54,2.04,1.94,2.05
a_0,8.92,10.3,8.61,10.52,11.01,8.52,3.62,2.28,2.89,2.91,1.51,2.38,2.39,1.51,2.01,1.88
e_0,11.77,14.39,7.97,10.21,8.36,6.95,3.36,2.88,3.48,2.82,2.91,1.7,2.36,2.48,1.54,1.98
g_0,9.45,11.14,11.0,9.77,9.53,8.06,2.97,2.91,4.92,2.52,2.97,3.11,1.99,2.63,2.42,2.57
