,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,15.94,0.69,0.69,0.52,0.46,0.65,0.72,0.7,1.85,0.91,0.88,0.8,0.9,0.87,0.48,1.04
f_1,1.34,16.21,0.62,0.5,0.47,0.44,0.61,0.79,0.88,0.93,0.85,0.32,0.79,0.98,0.75,0.78
c_1,0.43,0.51,17.99,0.51,1.28,0.49,0.87,0.86,0.88,0.67,0.27,1.19,0.98,0.9,0.89,1.01
d_1,0.42,0.55,0.48,19.56,0.56,0.58,1.11,1.12,0.5,1.31,2.12,1.12,0.92,0.78,1.12,0.83
b_1,0.51,0.56,0.51,0.53,20.13,1.38,0.92,0.72,0.73,0.32,0.87,0.82,0.65,1.09,0.82,1.0
a_1,0.53,0.59,0.56,0.69,0.52,25.84,1.31,0.98,0.83,0.89,0.83,0.83,0.52,1.06,0.89,0.89
h_1,0.62,1.33,0.57,0.78,0.8,0.54,5.24,1.72,1.07,1.15,1.17,1.01,1.17,0.77,1.43,1.66
g_1,0.59,0.62,0.71,1.54,0.61,0.47,1.11,6.23,0.85,1.16,1.03,2.21,0.92,1.11,1.59,0.72
d_0,0.64,0.78,2.03,0.36,0.82,0.64,1.05,0.96,2.89,1.29,0.74,1.1,1.18,1.34,1.24,1.07
b_0,0.72,0.7,0.78,0.98,0.3,0.57,1.19,1.19,1.0,3.73,1.61,1.51,3.78,1.49,1.4,1.25
c_0,0.81,0.83,0.43,0.89,0.48,0.76,1.15,1.09,1.29,3.53,3.24,1.45,1.5,1.35,1.41,1.22
f_0,0.56,0.41,0.89,0.83,0.98,0.6,1.17,1.26,1.13,1.43,1.13,4.46,1.62,1.45,3.76,1.18
a_0,0.66,0.81,0.71,0.97,0.82,0.38,1.02,1.14,1.24,1.39,1.26,1.15,4.33,1.86,1.41,1.81
h_0,0.73,1.34,0.76,0.9,0.6,0.61,0.67,1.67,0.91,1.08,1.03,1.21,1.35,0.72,1.02,1.46
e_0,0.48,0.93,0.9,0.77,0.62,0.49,1.12,1.1,1.11,1.43,1.28,1.6,1.74,1.53,4.66,1.63
g_0,0.77,0.54,0.69,1.73,0.61,0.59,0.95,0.59,0.99,1.58,1.13,2.43,1.4,1.12,1.29,0.94
