,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.43,2.05,1.67,1.77,1.71,1.58,0.45,0.66,0.31,0.35,0.33,0.3,0.21,0.31,0.28,0.16
e_1,1.82,0.43,0.97,1.76,1.94,1.68,0.6,0.39,0.61,0.41,0.45,0.38,0.29,0.37,0.93,0.32
f_1,1.52,1.6,0.42,1.7,1.94,2.05,0.32,0.38,0.57,0.3,0.59,0.29,0.17,0.31,0.3,0.25
c_1,2.21,1.39,1.83,0.41,1.68,1.87,0.46,0.2,0.55,0.67,0.32,0.34,0.28,0.37,0.33,0.32
b_1,1.99,2.03,2.66,1.08,0.38,1.73,0.62,0.37,0.55,0.56,0.36,1.25,0.31,0.48,0.43,0.31
a_1,2.27,2.01,2.29,2.97,1.15,0.33,0.9,0.48,0.74,0.53,0.5,0.67,0.44,1.17,0.55,0.39
h_1,2.68,2.73,3.22,2.93,2.65,2.46,0.32,0.63,1.1,0.53,0.66,0.59,0.71,0.54,0.5,0.45
d_0,5.13,1.79,3.22,3.08,3.88,2.98,0.97,0.4,0.96,0.64,0.57,0.69,0.49,0.58,0.61,0.54
g_1,3.34,3.2,3.42,3.67,3.61,2.42,0.64,0.75,0.29,0.69,0.58,0.68,0.39,0.7,0.64,0.61
c_0,1.68,3.85,3.3,6.47,3.46,2.65,1.11,1.07,1.01,0.36,0.73,0.87,0.53,0.64,0.66,0.5
f_0,2.92,3.69,6.31,3.36,3.75,2.89,1.11,0.71,0.62,0.74,0.35,0.71,0.5,0.5,0.62,0.3
b_0,2.73,3.11,3.67,4.75,5.11,3.19,1.0,0.88,0.89,0.35,0.65,0.35,0.49,0.71,0.67,0.46
h_0,3.63,3.29,4.45,3.46,4.18,3.23,1.61,0.84,0.95,0.77,0.75,0.65,0.77,0.67,0.65,0.54
a_0,3.29,4.4,3.96,4.16,5.05,8.24,1.09,1.17,0.89,0.79,0.82,0.4,0.68,0.33,0.63,0.59
e_0,3.58,8.03,6.65,4.31,3.77,2.88,1.16,1.03,0.86,0.76,0.4,0.83,0.56,0.68,0.32,0.57
g_0,3.71,4.5,5.26,3.75,3.29,3.87,0.98,0.95,2.02,0.76,0.85,0.98,0.51,0.81,0.76,0.77
