,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.37,0.3,0.35,0.25,0.18,0.19,0.59,1.0,0.55,0.51,0.53,0.63,0.75,0.59,,0.88
f_1,0.38,2.44,0.31,0.29,0.26,0.35,0.48,0.66,0.5,0.62,0.64,,0.75,0.55,0.51,0.68
c_1,0.27,0.27,2.46,0.33,0.42,0.27,0.53,0.55,0.58,,0.58,0.66,0.85,0.6,0.67,0.73
d_1,0.27,0.23,0.21,2.5,0.36,0.27,0.67,,0.56,1.09,0.5,0.54,0.87,0.63,0.64,0.66
b_1,0.34,0.26,0.23,0.26,2.7,0.49,0.49,0.56,0.46,0.58,,0.65,0.91,0.67,0.77,0.83
a_1,0.39,0.26,0.26,0.27,0.18,3.18,0.64,0.57,0.5,0.64,0.76,0.56,0.84,,0.56,0.89
h_1,0.52,0.76,0.51,0.52,0.53,0.5,4.02,1.13,1.58,1.29,0.88,1.27,,1.1,,1.92
d_0,0.53,0.65,1.03,,0.72,0.65,1.43,3.32,1.08,1.47,1.56,1.33,1.39,1.58,1.3,1.57
g_1,0.5,0.63,0.44,0.63,0.6,0.5,0.95,1.08,4.24,1.44,1.47,1.48,1.2,,1.09,
c_0,0.68,0.64,,0.54,0.69,0.5,1.41,1.14,1.03,3.6,2.7,1.57,1.97,,1.23,1.73
b_0,0.67,0.56,0.58,0.77,,0.57,1.27,1.47,1.18,1.06,3.81,1.42,1.94,,1.56,1.42
f_0,0.57,,0.54,0.79,0.6,0.56,1.11,1.66,1.02,1.22,1.53,3.98,1.69,,,1.66
h_0,0.69,0.96,0.79,0.65,0.69,0.66,,2.07,2.09,1.76,1.31,1.87,,1.79,1.62,2.29
a_0,0.68,0.62,0.67,0.63,0.56,,1.1,1.64,,,,,1.79,4.74,,1.61
e_0,,0.62,0.73,0.6,0.57,0.86,,1.67,1.09,1.67,1.29,,1.91,,4.75,2.15
g_0,0.59,0.64,0.7,1.12,0.89,0.75,1.23,1.5,,1.73,1.77,2.21,2.12,1.75,1.8,
