,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,8636.09,2803.31,3095.44,7306.31,10474.22,20493.15,3396993.79,7361192.17,7184821.44,23823150.19,15291146.18,20765686.75,92101048.44,58398489.59,42847547.89,167753534.21
f_1,3513.15,11345.32,2935.03,5320.28,9341.11,23763.81,2724124.12,7220323.24,5705207.52,10439126.73,14633342.63,6471046.87,75504561.27,54691915.72,59899517.31,143321317.06
d_1,1906.51,2590.35,14666.89,5365.69,10500.33,27251.52,3399109.89,15594988.27,9310139.78,5283680.24,15681658.3,22185632.01,83851381.5,60818506.23,104293867.27,147096645.45
c_1,2020.5,2427.43,2933.86,33568.99,20052.52,17333.85,2834472.19,2832841.45,8674292.22,10844222.08,13358970.61,23435533.57,79713931.29,45443714.43,81741401.5,172388646.14
b_1,1905.88,2618.8,3064.07,6091.38,69688.9,47081.69,3252514.26,6921694.67,6378483.5,10788190.01,4344016.59,21730957.37,83401001.25,45823544.85,83592984.13,151513906.34
a_1,2040.07,2486.52,2928.3,6779.62,9777.13,187761.99,3502348.23,8118456.98,10062060.18,8898152.24,18161724.85,27159751.79,87713837.33,36905490.5,109548129.19,172328455.93
h_1,2029.45,4156.01,3844.41,6892.26,12474.5,25161.7,11009321.2,9010665.24,13918144.57,14617379.28,21210856.13,28759553.54,53742164.91,67884315.87,125068341.32,251997757.0
c_0,2549.11,3156.91,4238.15,3815.85,10803.98,26064.0,4847033.59,21454936.36,11444821.83,16430425.65,38415291.21,31322848.88,117204651.82,102488849.07,129451688.9,216157192.03
g_1,1846.72,2709.56,5643.73,6417.57,15318.56,33172.36,3309016.32,10552112.38,34777615.15,10455725.41,20371745.34,40552779.27,79172334.25,73007660.46,102972934.35,91703051.16
d_0,2286.26,3252.91,1893.86,14161.31,13474.07,24997.44,3512343.18,8607281.42,10070495.4,28574653.3,19213697.16,25358828.18,116021685.62,73990165.21,109590163.05,247604810.27
b_0,2188.27,3351.49,4705.17,7367.23,9195.67,20543.55,4022186.56,11179681.26,10387214.53,14708755.63,41319360.08,28945206.88,95091782.97,170511840.66,125088979.66,218955876.16
f_0,1704.17,1703.15,4751.48,9488.06,13913.51,32100.01,4356658.55,10926548.43,11112589.76,18650753.44,18608268.76,64844816.69,113509009.65,90678583.68,243338673.7,220201713.3
h_0,2731.97,4189.98,4054.72,7562.16,13419.16,22980.18,2309742.92,9389030.31,13469608.07,14573113.86,21971705.14,24455982.86,55621038.26,74393531.01,113131294.62,243920153.62
a_0,2352.83,3052.63,4818.31,8410.81,12375.3,7470.23,4162319.16,12201457.66,10031553.03,16011087.64,16728135.49,27716674.02,126903722.0,221112141.04,139490375.11,197137828.18
e_0,1097.26,3985.63,3287.91,7514.59,12623.3,34035.73,5286325.85,12722678.42,13334404.52,13972165.03,22924726.21,33259290.99,129894328.53,99957632.31,354317651.35,211351808.85
g_0,2193.24,2803.97,6342.55,8169.43,11865.73,23267.71,3434881.92,10913362.17,6375465.34,12662336.84,20330939.44,40569543.54,92641436.63,78349684.4,125147426.99,141941870.94
