,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.51,1.31,1.29,1.6,3.71,18.77,32.99,30.53,38.76,52.85,44.87,53.95,90.15,124.01,114.53
e_1,0.66,1.0,1.31,1.19,2.0,3.61,21.21,28.06,41.41,40.16,48.67,57.26,62.31,84.28,117.1,165.71
c_1,0.77,0.77,1.0,1.2,2.04,3.04,19.88,25.07,17.66,27.63,35.76,41.52,48.01,59.93,96.11,111.59
d_1,0.78,0.83,0.84,1.0,1.31,3.19,15.41,17.61,20.21,38.75,36.51,39.16,41.23,68.03,73.58,97.96
b_1,0.62,0.51,0.49,0.77,1.0,3.01,13.15,17.86,17.21,26.26,29.63,27.89,37.57,41.18,71.48,62.61
a_1,0.27,0.28,0.33,0.31,0.33,1.0,5.6,8.28,8.75,10.22,12.37,14.03,18.79,22.24,30.58,29.29
h_1,0.05,0.05,0.05,0.06,0.07,0.17,1.0,1.57,1.29,1.97,2.54,2.03,2.91,3.77,6.33,5.81
g_1,0.03,0.04,0.04,0.06,0.06,0.13,0.63,1.0,0.95,1.32,1.69,1.99,1.76,3.0,3.6,5.21
d_0,0.03,0.02,0.06,0.05,0.06,0.11,0.8,1.06,1.0,1.05,1.73,1.8,2.24,3.38,4.12,4.88
c_0,0.02,0.03,0.04,0.03,0.04,0.09,0.5,0.8,0.92,1.0,1.78,1.23,1.76,2.9,3.09,3.73
b_0,0.02,0.02,0.03,0.03,0.04,0.08,0.42,0.6,0.54,0.54,1.0,0.91,1.2,2.22,2.01,2.49
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.45,0.5,0.6,0.82,1.07,1.0,1.37,1.71,1.9,3.9
h_0,0.02,0.02,0.02,0.02,0.03,0.06,0.34,0.57,0.44,0.57,0.8,0.69,1.0,1.43,2.09,2.05
a_0,0.01,0.01,0.02,0.02,0.03,0.05,0.25,0.34,0.29,0.34,0.45,0.6,0.65,1.0,1.29,1.71
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.27,0.23,0.3,0.46,0.54,0.46,0.75,1.0,1.21
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.19,0.22,0.27,0.41,0.27,0.46,0.52,0.81,1.0
