,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.66,1.06,1.12,0.95,1.03,0.88,0.38,0.37,0.45,0.34,0.33,0.39,0.26,0.31,0.33,0.33
e_1,0.77,0.66,1.1,0.97,1.09,1.0,0.5,0.52,0.59,0.39,0.38,0.52,0.34,0.52,0.38,0.36
c_1,1.0,0.97,0.64,1.33,1.23,0.99,0.51,0.27,0.49,0.4,0.38,0.36,0.28,0.32,0.32,0.3
d_1,1.29,1.35,1.06,0.62,1.05,0.91,0.54,0.58,0.35,0.47,0.45,0.4,0.34,0.41,0.47,0.24
b_1,1.3,1.25,0.78,1.29,0.62,1.43,0.52,0.45,0.49,0.59,0.5,0.43,0.34,0.36,0.36,0.31
a_1,1.5,1.44,1.23,1.54,0.73,0.57,0.69,0.61,0.63,0.51,0.66,0.45,0.44,0.44,0.59,0.44
h_1,1.93,1.66,1.77,1.52,1.83,1.33,0.55,0.61,0.76,0.58,0.57,0.61,0.56,0.52,0.55,0.48
d_0,1.88,1.2,2.38,2.39,1.99,1.52,0.93,0.58,1.0,0.68,0.61,0.61,0.59,0.78,0.66,0.57
g_1,2.1,1.59,1.91,2.13,2.05,1.73,0.74,0.65,0.52,0.67,0.66,0.72,0.46,0.67,0.56,0.56
c_0,2.36,2.01,2.94,1.21,1.78,1.89,0.87,1.0,0.84,0.56,0.95,0.77,0.58,0.69,0.75,0.55
b_0,2.29,1.91,2.79,1.68,2.54,1.55,1.02,0.85,0.93,0.45,0.56,0.68,0.57,0.72,0.79,0.55
f_0,2.62,1.86,2.35,2.17,2.01,1.74,0.9,0.89,0.68,0.73,0.73,0.55,0.64,0.76,0.63,0.4
h_0,2.58,2.18,2.69,2.16,2.15,1.71,1.28,0.81,1.08,0.82,0.79,0.79,0.79,0.72,0.7,0.69
e_0,2.95,2.56,2.64,2.17,2.18,2.02,1.0,0.81,0.99,0.88,0.8,0.53,0.65,0.53,0.76,0.57
a_0,2.35,2.25,2.66,2.08,2.84,2.36,1.18,0.84,1.1,0.73,0.54,1.01,0.79,0.9,0.53,0.64
g_0,2.82,2.46,2.68,2.62,2.39,1.89,0.97,0.99,1.15,0.97,0.87,0.9,0.59,0.78,0.81,0.76
