,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.82,1.12,1.08,0.96,1.1,0.99,1.03,1.41,0.92,0.93,0.98,1.04,0.92,0.88,1.1
f_1,1.22,1.0,1.11,0.97,0.93,0.84,0.76,1.01,1.01,1.06,1.02,0.78,0.85,0.83,0.8,0.93
c_1,0.9,0.9,1.0,1.09,1.29,0.96,1.2,1.02,0.74,0.88,0.83,1.12,0.96,0.98,0.97,1.1
d_1,0.92,1.04,0.92,1.0,1.09,0.99,1.01,0.85,1.33,1.08,1.4,0.99,0.79,0.87,1.1,0.65
b_1,1.05,1.07,0.77,0.91,1.0,1.47,1.03,0.96,0.88,0.98,1.18,0.81,0.93,1.11,1.03,1.4
a_1,0.91,1.2,1.05,1.01,0.68,1.0,1.36,1.11,1.06,1.18,0.94,1.14,1.3,1.16,0.96,1.0
h_1,1.01,1.38,0.84,0.96,0.96,0.71,1.0,1.22,1.02,0.92,0.84,0.92,1.06,1.05,1.17,1.25
g_1,0.98,0.98,0.97,1.16,1.1,0.86,0.82,1.0,0.89,1.01,0.93,1.26,0.83,0.89,1.02,1.02
d_0,0.74,0.97,1.42,0.75,1.18,0.93,0.97,1.11,1.0,1.21,0.83,1.0,0.98,1.19,1.13,1.11
b_0,1.06,0.95,1.14,0.94,1.04,0.86,1.01,1.03,0.84,1.0,0.79,1.11,1.61,1.12,0.97,1.01
c_0,1.1,0.99,1.32,0.73,0.85,1.18,1.22,1.04,1.17,1.35,1.0,1.08,1.15,1.32,1.15,1.0
f_0,0.99,1.32,0.93,0.95,1.2,0.93,1.07,0.84,1.05,0.89,0.88,1.0,1.07,1.15,1.31,0.8
a_0,0.92,1.12,1.0,1.18,1.14,0.69,0.9,1.2,1.1,0.65,0.82,0.91,1.0,1.13,0.82,1.04
h_0,1.04,1.16,1.0,1.11,0.88,0.82,0.98,1.17,0.83,0.88,0.8,0.9,0.93,1.0,0.73,1.01
e_0,1.1,1.2,1.02,0.92,1.01,0.89,0.85,0.98,0.95,1.05,0.91,0.82,1.22,1.31,1.0,1.03
g_0,0.97,1.0,0.9,1.46,0.76,0.97,0.81,1.0,0.88,1.01,0.95,1.21,0.97,0.96,0.97,1.0
