,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,5.55,1.41,1.02,1.61,1.04,1.41,4.4,12.46,4.82,6.17,8.06,6.69,7.32,11.53,9.55,3.94
f_1,2.24,5.61,1.17,1.27,1.21,1.04,5.09,5.12,4.4,6.72,5.04,1.92,5.51,8.6,7.45,3.9
d_1,1.3,1.5,6.34,0.93,1.24,1.27,4.88,2.53,4.47,11.59,6.81,6.63,6.74,9.34,10.19,8.0
c_1,1.14,1.32,1.36,6.75,2.43,1.06,4.22,5.42,4.92,1.92,5.22,5.39,5.17,7.38,6.26,6.65
b_1,1.15,1.16,1.49,1.2,8.68,2.67,4.76,4.65,4.66,4.35,1.97,6.98,5.28,9.28,7.89,8.41
a_1,1.24,1.36,1.41,1.38,1.06,11.07,4.93,5.94,4.44,7.21,6.31,6.84,2.14,11.03,14.04,6.68
h_1,1.51,2.12,1.73,1.49,1.62,1.44,14.98,6.17,6.8,7.12,6.79,7.49,7.06,6.47,12.74,8.68
d_0,1.3,1.66,0.8,3.07,1.76,1.53,5.25,14.4,6.01,5.49,7.29,7.32,7.72,10.91,9.73,7.89
g_1,1.38,1.04,2.65,1.62,1.39,1.41,5.77,5.53,20.43,7.71,8.19,12.27,7.28,8.72,7.19,9.58
c_0,1.91,1.62,1.68,1.0,1.3,1.59,5.49,8.61,4.87,16.05,14.39,7.9,7.2,11.94,14.91,7.66
b_0,1.5,1.96,1.73,1.94,0.67,1.12,5.88,7.54,5.64,7.37,18.23,8.29,16.18,10.23,13.22,8.82
f_0,1.33,0.86,2.05,1.92,1.58,1.53,6.15,8.01,6.4,7.11,7.9,19.54,9.7,11.65,13.15,18.06
a_0,1.4,1.66,2.05,2.15,1.67,0.6,6.37,8.95,5.09,6.92,7.63,7.86,23.12,12.66,11.66,8.83
h_0,1.59,2.3,1.76,1.58,1.19,1.78,3.6,7.9,7.8,6.36,7.35,7.16,7.51,6.12,15.06,7.6
g_0,1.41,1.47,2.54,1.72,1.42,1.22,6.48,6.92,2.9,6.6,9.16,12.22,8.93,12.52,7.42,7.37
e_0,0.65,2.15,1.83,1.85,1.73,1.52,6.23,7.11,6.77,7.21,7.13,7.64,8.2,12.71,11.32,24.34
