,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.68,3.58,4.74,4.79,6.76,4.52,2.54,2.28,2.14,2.54,1.81,2.23,1.89,2.4,,2.07
f_1,8.27,0.67,4.95,7.0,4.21,4.31,1.77,1.85,1.89,2.58,2.43,,1.4,1.96,1.99,2.36
d_1,7.61,7.19,0.65,4.61,7.01,5.91,2.78,,2.21,1.52,2.07,2.63,1.61,2.67,1.68,1.11
c_1,6.34,6.0,8.48,0.64,6.81,5.79,2.62,1.3,,2.81,2.45,1.84,2.1,1.73,2.53,1.73
b_1,5.81,9.81,5.27,3.86,0.62,9.42,2.73,2.34,2.64,3.7,,2.62,1.75,,1.75,1.34
a_1,9.14,9.24,6.82,7.47,3.79,0.58,4.19,2.89,1.93,3.22,2.25,,2.05,,2.86,
h_1,5.4,4.89,4.48,6.0,4.66,3.24,0.61,2.18,1.76,2.51,1.63,1.98,,1.23,2.14,1.5
d_0,3.28,4.88,,5.65,3.68,3.96,2.31,0.71,2.34,1.89,1.46,2.04,1.16,1.66,1.7,1.44
c_0,4.72,4.45,3.49,,4.81,7.5,2.45,1.7,0.7,2.33,1.99,1.45,1.35,1.47,1.33,1.36
g_1,6.35,7.28,6.28,5.73,4.27,6.65,1.86,2.26,1.87,0.58,2.12,2.14,1.35,1.61,1.59,
b_0,5.54,4.41,5.41,5.23,,4.9,2.14,2.13,1.26,2.3,0.69,1.53,1.56,,1.47,1.13
f_0,4.96,,4.66,4.9,5.62,,2.4,1.56,2.25,1.76,1.92,0.68,1.38,1.46,2.51,0.93
h_0,3.86,5.14,5.01,3.94,5.95,4.57,,1.78,1.57,2.07,1.66,1.92,,1.36,1.25,1.58
a_0,5.47,5.61,5.75,6.33,,,3.27,2.18,3.06,2.78,,2.6,1.73,0.61,,1.78
e_0,,6.68,8.24,6.84,5.9,3.77,2.69,2.94,2.61,2.42,2.58,1.12,1.76,,0.6,1.76
g_0,4.46,3.8,6.24,5.6,6.16,,1.72,2.24,1.84,,2.57,1.87,1.08,1.45,1.93,
