,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.65,1.01,0.96,0.88,0.87,0.86,0.39,0.31,0.35,0.38,0.35,0.31,0.32,0.26,0.3,0.19
f_1,0.9,0.65,1.01,0.93,0.91,0.8,0.35,0.45,0.36,0.37,0.34,0.38,0.31,0.22,0.3,0.28
e_1,0.96,0.73,0.64,1.21,0.96,0.9,0.47,0.45,0.35,0.42,0.39,0.41,0.36,0.29,0.4,0.31
c_1,1.21,1.08,0.8,0.63,1.04,0.88,0.46,0.47,0.4,0.23,0.3,0.35,0.31,0.28,0.31,0.28
b_1,1.19,1.14,1.03,0.73,0.61,1.04,0.56,0.51,0.47,0.38,0.43,0.39,0.36,0.35,0.33,0.34
a_1,1.26,1.42,1.24,1.05,0.74,0.56,0.66,0.62,0.51,0.43,0.52,0.46,0.46,0.39,0.48,0.42
h_1,1.56,1.68,1.55,1.54,1.5,1.15,0.53,0.68,0.58,0.58,0.59,0.55,0.53,0.53,0.52,0.46
g_1,1.93,1.72,1.72,1.65,1.52,1.36,0.65,0.51,0.61,0.63,0.62,0.61,0.56,0.42,0.53,0.51
c_0,1.29,1.79,1.75,2.48,1.68,1.6,0.76,0.77,0.53,0.91,0.73,0.6,0.65,0.52,0.61,0.45
d_0,1.97,1.67,1.24,2.18,1.72,1.56,0.8,0.84,0.6,0.56,0.65,0.7,0.7,0.55,0.64,0.51
b_0,1.5,1.97,1.61,2.4,2.25,1.59,0.75,0.71,0.45,0.76,0.53,0.63,0.67,0.55,0.6,0.5
f_0,1.83,2.25,1.84,1.99,1.97,1.49,0.81,0.58,0.67,0.72,0.65,0.51,0.63,0.52,0.73,0.44
a_0,1.86,2.04,1.95,2.25,2.08,2.0,0.98,0.75,0.65,0.74,0.51,0.73,0.53,0.58,0.69,0.65
h_0,1.98,2.31,1.98,2.02,1.76,1.76,1.02,0.86,0.83,0.75,0.7,0.72,0.63,0.69,0.58,0.61
e_0,2.12,2.67,2.15,2.23,2.23,1.66,0.88,0.75,0.75,0.83,0.77,0.47,0.72,0.71,0.5,0.54
g_0,2.43,2.38,2.15,2.05,2.04,1.75,0.8,0.94,0.88,0.77,0.82,0.76,0.71,0.58,0.68,0.66
