,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.09,2.0,1.98,2.34,2.4,2.0,0.49,0.47,0.72,0.45,0.43,0.53,0.25,0.39,0.41,0.37
e_1,1.55,1.09,2.32,2.5,2.25,2.14,0.71,0.53,0.7,0.54,0.43,0.61,0.37,0.5,0.66,0.4
d_1,2.86,2.94,1.08,2.78,2.22,2.09,0.62,0.84,0.43,0.47,0.45,0.38,0.35,0.4,0.42,0.23
c_1,2.51,2.22,3.85,1.09,2.51,2.36,0.82,0.34,0.77,0.78,0.54,0.56,0.39,0.51,0.58,0.42
b_1,3.21,3.46,3.53,1.91,1.11,2.96,0.97,0.59,0.86,0.83,0.94,0.57,0.47,0.63,0.56,0.45
a_1,4.93,4.54,4.39,4.56,2.17,1.13,1.44,1.09,1.34,0.99,1.5,0.89,0.63,1.49,0.98,0.63
h_1,9.19,8.2,8.4,9.16,8.48,7.63,1.52,1.98,2.72,1.86,1.64,1.67,1.58,1.61,1.73,1.31
d_0,10.74,7.2,14.62,11.68,12.67,11.46,3.45,1.75,3.67,2.66,2.22,2.43,1.75,2.47,2.5,1.92
g_1,12.5,11.75,10.86,12.17,10.27,9.73,2.53,2.94,1.6,2.12,2.3,1.94,1.36,2.17,2.12,1.76
c_0,13.71,12.89,7.36,17.61,13.77,10.41,3.49,3.75,3.14,1.73,2.25,2.26,1.72,2.07,2.14,1.64
b_0,16.48,14.4,12.15,18.86,23.38,13.45,4.31,3.47,3.95,1.9,1.93,2.94,2.03,2.56,2.56,2.03
f_0,25.49,16.82,17.06,20.44,14.82,12.42,5.47,3.77,3.01,3.45,3.35,2.0,2.24,3.0,2.81,1.54
h_0,23.18,20.44,17.69,18.86,19.37,15.5,7.07,4.45,5.33,3.92,3.59,3.13,3.24,3.42,3.7,2.6
a_0,24.83,21.26,16.81,21.69,23.58,22.52,6.69,5.03,5.21,3.63,2.29,3.69,2.97,2.16,4.32,2.65
e_0,28.75,23.27,18.66,23.79,20.86,16.56,5.54,4.28,4.94,4.09,3.98,2.21,2.78,4.03,2.14,2.98
g_0,26.74,25.17,23.62,26.35,23.58,20.83,5.72,5.74,8.84,4.97,4.98,4.3,3.16,5.19,4.22,3.57
