,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,6.08,4.43,2.76,2.89,2.42,2.41,9.43,13.13,9.89,12.52,8.95,12.74,12.93,20.97,10.1,19.6
e_1,2.94,6.06,2.32,3.65,2.85,2.72,10.47,22.46,10.65,12.02,13.24,13.79,14.59,20.63,11.71,19.34
d_1,3.19,2.91,6.68,2.16,2.41,3.17,11.26,9.93,10.64,23.92,14.77,16.03,16.02,21.65,15.32,21.93
c_1,2.65,2.32,2.81,6.89,4.79,3.24,9.12,13.8,9.82,8.0,14.29,9.65,13.8,19.74,15.47,20.79
b_1,2.87,2.48,2.71,2.56,7.56,5.85,9.51,11.67,9.49,10.66,14.33,8.77,11.76,20.08,15.42,20.46
a_1,3.07,3.05,3.07,2.84,2.58,11.24,10.95,13.61,10.88,14.26,14.34,15.31,12.89,21.75,13.33,19.21
h_1,3.63,3.0,3.42,3.02,2.89,2.73,18.03,12.69,14.49,14.11,14.99,14.14,14.88,17.78,15.44,29.45
d_0,2.97,2.56,2.6,5.16,3.53,2.67,10.93,19.55,10.57,9.87,12.44,14.2,15.07,21.94,15.98,22.31
g_1,2.77,2.78,4.69,2.84,2.64,2.74,10.79,12.29,23.34,14.54,20.26,14.73,16.58,22.62,18.4,19.62
c_0,3.47,2.97,3.52,2.27,2.39,2.86,12.61,12.28,12.62,20.98,15.8,24.9,22.59,24.51,17.19,25.17
f_0,2.27,2.67,3.39,3.54,3.31,3.27,11.91,14.39,12.87,14.64,22.9,16.7,20.27,21.64,32.4,22.95
b_0,3.13,3.21,3.46,3.01,2.61,2.1,12.27,13.42,11.21,15.61,15.38,24.01,33.38,23.53,16.35,22.42
a_0,3.18,2.95,3.3,2.87,2.92,2.41,12.75,14.24,11.18,16.51,15.45,15.75,28.76,25.86,18.51,25.58
h_0,3.98,2.96,3.43,3.29,2.8,2.91,9.03,12.31,13.05,13.52,13.14,14.21,14.33,17.11,15.94,27.26
e_0,2.9,1.87,3.18,3.93,3.62,3.28,11.42,13.54,12.77,14.03,16.03,15.22,17.25,25.83,29.79,24.48
g_0,2.79,2.72,4.45,3.09,2.65,2.98,11.89,12.9,8.43,14.71,24.0,15.21,17.3,21.51,21.09,19.5
