,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.65,1.13,1.0,1.11,1.09,0.91,0.38,0.36,0.58,0.41,0.35,0.43,0.25,0.32,0.36,0.35
e_1,0.72,0.65,1.12,1.4,1.11,1.04,0.49,0.42,0.49,0.45,0.41,0.48,0.32,0.39,0.49,0.35
d_1,1.31,1.18,0.64,1.03,0.97,0.96,0.48,0.45,0.33,0.49,0.43,0.38,0.31,0.37,0.39,0.23
c_1,1.21,0.9,1.42,0.63,1.43,0.91,0.5,0.43,0.51,0.26,0.36,0.38,0.32,0.36,0.36,0.32
b_1,1.23,1.2,1.24,0.67,0.63,1.47,0.61,0.52,0.5,0.45,0.54,0.41,0.39,0.36,0.37,0.38
a_1,1.46,1.33,1.24,1.52,0.74,0.58,0.62,0.54,0.63,0.62,0.68,0.51,0.5,0.74,0.48,0.41
h_1,1.84,1.65,1.78,1.89,1.54,1.26,0.56,0.63,0.85,0.61,0.63,0.6,0.59,0.59,0.57,0.53
c_0,2.14,2.07,1.24,2.85,1.91,1.62,0.88,0.56,0.78,0.89,0.79,0.65,0.59,0.74,0.61,0.52
g_1,1.88,1.95,2.02,1.91,1.86,1.72,0.68,0.64,0.53,0.69,0.63,0.71,0.47,0.63,0.54,0.54
d_0,1.71,1.31,2.31,2.57,2.0,1.52,1.03,0.7,1.02,0.59,0.71,0.68,0.64,0.73,0.66,0.6
b_0,2.26,2.0,1.6,2.52,2.58,1.56,0.88,0.48,0.94,0.74,0.55,0.67,0.64,0.77,0.64,0.51
f_0,2.79,1.91,1.9,2.07,2.09,1.81,0.97,0.77,0.64,0.86,0.75,0.55,0.65,0.76,0.78,0.43
h_0,2.26,2.17,2.08,2.2,2.08,1.73,1.09,0.74,1.02,0.73,0.74,0.73,0.76,0.66,0.72,0.66
a_0,2.68,2.07,2.03,2.41,2.61,2.4,0.94,0.73,1.08,0.86,0.54,0.69,0.77,0.55,0.71,0.6
e_0,2.91,2.73,2.09,2.28,2.55,2.23,1.13,0.81,1.12,0.87,0.84,0.49,0.66,0.68,0.52,0.55
g_0,2.38,2.21,2.5,2.25,2.29,2.02,0.89,0.89,1.21,0.92,0.94,0.97,0.61,0.87,0.81,0.8
