,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.45,1.59,1.35,1.22,1.49,1.54,2.95,2.71,2.62,4.92,3.7,3.5,4.11,3.76,3.83,3.68
f_1,1.37,2.47,2.18,1.5,1.31,1.25,2.6,2.82,3.14,2.96,2.93,2.23,3.79,3.1,4.24,2.31
e_1,1.38,1.36,2.47,1.71,1.6,1.53,3.07,2.93,5.0,3.31,3.53,3.4,3.7,3.31,3.9,2.77
c_1,1.54,1.37,1.33,2.7,2.37,1.28,2.86,3.06,2.54,1.95,2.29,3.66,4.23,3.14,3.75,3.21
b_1,1.49,1.54,1.43,1.35,2.79,2.54,2.52,2.44,3.05,3.1,2.56,3.34,3.81,3.03,4.27,3.47
a_1,1.58,1.54,1.39,1.66,1.27,3.32,3.3,3.2,3.27,3.2,3.59,3.28,4.52,3.09,4.52,3.79
h_1,1.6,1.97,1.5,1.64,1.43,1.31,4.18,3.77,2.91,3.08,2.79,3.0,3.64,3.34,4.75,3.56
g_1,2.07,1.51,1.38,1.5,1.53,1.29,2.64,4.5,3.04,3.5,3.26,4.55,3.76,3.23,3.13,4.2
d_0,1.3,1.59,1.32,2.68,1.55,1.34,3.22,2.93,4.19,2.75,3.4,2.87,4.25,2.91,3.89,3.89
c_0,1.49,1.8,1.48,1.48,1.34,1.56,3.55,3.02,3.72,4.26,5.56,3.43,4.7,4.07,4.02,4.48
b_0,1.69,1.75,1.46,1.76,1.13,1.42,3.44,2.97,3.1,2.72,4.41,3.39,4.31,5.39,4.63,3.36
f_0,1.66,1.46,1.39,1.48,1.47,1.71,3.2,2.7,3.5,3.61,3.62,4.82,4.11,3.81,3.91,7.02
h_0,1.69,2.02,1.59,1.44,1.41,1.37,2.25,3.58,3.05,3.0,3.54,3.5,3.83,3.45,5.14,3.12
a_0,1.58,1.8,1.52,1.68,1.55,0.99,3.3,3.17,3.83,3.47,3.37,3.18,4.65,5.13,4.34,3.38
g_0,2.04,1.44,1.43,1.56,1.46,1.43,2.63,2.68,2.99,3.48,3.53,4.82,3.9,3.67,3.87,4.02
e_0,1.67,1.91,1.41,1.54,1.65,1.48,3.16,2.96,2.96,2.9,3.91,2.92,4.82,3.7,3.82,5.34
