,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.42,4.26,3.16,3.94,3.24,3.95,1.97,1.31,,1.82,1.46,1.5,1.41,1.95,0.97,1.42
f_1,3.51,0.41,4.15,4.7,3.46,3.14,1.53,1.93,1.59,1.81,1.59,,0.96,1.43,1.44,1.55
e_1,4.59,2.33,0.41,3.65,3.33,3.53,1.9,1.93,1.88,2.18,1.86,1.78,1.27,1.39,1.05,
c_1,4.25,3.01,3.89,0.38,4.15,3.64,1.77,1.73,1.1,,1.35,1.95,1.65,1.27,1.45,2.16
b_1,3.75,3.95,3.9,2.4,0.36,,1.8,1.64,1.53,1.49,,1.49,1.18,,1.33,1.73
a_1,2.68,3.69,3.26,4.13,,0.31,2.5,,1.81,1.53,1.89,1.65,1.33,,1.45,
h_1,1.81,2.01,2.02,1.63,2.11,1.46,0.26,1.17,0.69,0.8,0.72,0.74,,0.83,0.85,0.69
g_1,2.03,2.0,1.86,1.58,2.11,,0.66,0.24,1.03,0.99,0.74,0.86,0.63,,,
d_0,,1.78,1.07,1.65,1.69,1.43,0.87,0.87,0.29,0.6,0.73,0.71,0.62,0.62,0.72,0.84
c_0,1.01,1.61,1.51,,1.84,1.68,0.88,0.76,0.82,0.3,0.87,0.68,0.52,0.76,0.56,0.87
b_0,1.84,1.69,1.54,2.28,,1.89,1.09,0.85,0.69,0.46,0.27,0.61,0.7,0.73,0.7,0.51
f_0,1.71,,1.46,1.4,1.49,1.55,0.97,0.73,0.71,0.7,1.09,0.26,0.6,0.75,0.37,0.81
h_0,1.18,1.28,1.59,1.29,1.45,1.41,,0.69,0.54,0.56,0.51,0.63,,0.51,0.53,0.45
a_0,1.43,1.6,2.0,1.83,,,0.79,,0.85,0.66,0.57,0.71,0.64,0.23,0.8,
g_0,1.39,1.15,1.6,1.27,1.28,1.35,0.49,,0.55,0.65,0.58,0.82,0.42,0.55,,
e_0,1.63,2.4,,1.23,1.51,,1.06,,0.57,0.54,0.91,0.41,0.72,,,0.2
