,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.26,0.94,0.4,0.42,0.34,0.4,0.79,0.88,0.7,0.88,1.03,0.34,1.22,0.74,1.11,0.52
e_1,0.61,2.31,0.38,0.58,0.38,0.26,0.95,1.07,0.79,1.9,0.92,1.05,1.32,0.95,1.15,0.43
d_1,0.51,0.44,2.36,0.44,0.48,0.28,1.01,1.93,0.69,0.34,0.94,0.99,1.17,0.81,1.13,0.99
c_1,0.49,0.4,0.52,2.39,0.88,0.36,0.9,0.33,0.65,0.92,0.67,0.87,1.25,0.67,1.19,0.74
b_1,0.47,0.43,0.56,0.55,2.61,0.69,0.89,0.88,0.64,0.93,0.38,0.93,1.09,0.79,0.91,0.73
a_1,0.44,0.51,0.53,0.53,0.41,3.18,0.93,1.06,0.95,0.99,1.02,1.03,1.35,0.33,1.06,0.75
h_1,0.8,0.51,0.71,0.51,0.47,0.42,2.99,1.13,1.3,1.24,1.23,1.08,0.71,0.8,2.02,0.84
c_0,0.79,0.55,0.6,0.39,0.39,0.42,1.18,2.56,1.37,1.34,2.52,1.38,1.62,1.29,1.28,1.17
g_1,0.58,0.54,0.9,0.57,0.53,0.36,1.05,1.22,3.31,1.03,1.07,1.66,1.27,0.98,0.65,0.96
d_0,0.67,0.51,0.36,1.2,0.48,0.39,1.13,0.84,1.04,2.56,1.33,1.13,1.48,1.2,1.84,1.13
b_0,0.8,0.58,0.65,0.67,0.18,0.37,0.95,1.22,1.02,1.4,2.93,1.22,1.69,2.38,1.53,0.96
f_0,0.42,0.43,0.71,0.68,0.59,0.46,1.26,1.3,1.07,1.25,1.14,2.86,1.42,1.16,1.28,2.58
h_0,1.01,0.57,0.61,0.62,0.46,0.4,0.59,1.17,1.53,1.16,1.17,1.06,1.02,0.94,1.65,0.69
a_0,0.67,0.52,0.84,0.6,0.53,0.2,1.18,1.19,0.86,1.44,1.13,1.18,1.74,2.93,1.37,1.18
g_0,0.54,0.54,0.96,0.65,0.52,0.32,1.08,1.35,0.77,1.18,1.17,1.78,1.52,0.78,0.83,1.21
e_0,0.72,0.32,0.68,0.72,0.52,0.43,1.03,1.55,0.76,1.25,0.97,1.21,1.65,0.85,1.67,3.08
