,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,38.13,0.05,0.06,0.07,0.09,0.05,0.31,0.21,0.7,0.44,0.34,0.37,0.51,,0.64,0.28
f_1,0.12,39.11,0.06,0.06,0.07,0.06,0.38,0.22,0.37,0.44,,0.41,0.72,0.34,0.31,0.42
d_1,0.06,0.07,40.66,0.06,0.07,0.06,0.24,0.21,,0.76,0.39,0.44,0.54,0.42,0.69,0.4
c_1,0.05,0.08,0.07,40.24,0.11,0.08,0.23,0.28,0.51,,0.39,0.35,0.57,0.37,0.53,0.42
b_1,0.07,0.07,0.08,0.07,45.89,0.1,0.25,0.28,0.34,0.4,0.37,,0.73,0.41,0.37,0.31
a_1,0.08,0.06,0.06,0.05,0.07,71.16,0.36,0.25,0.37,0.44,0.34,0.45,0.39,,0.72,
h_1,0.3,0.43,0.25,0.23,0.22,0.31,28.7,1.23,1.42,1.47,1.22,1.54,,1.23,2.87,1.07
g_1,0.15,0.19,0.47,0.27,0.23,0.24,1.5,33.09,1.36,1.0,1.72,1.84,2.29,1.51,,1.52
d_0,0.34,0.35,,0.82,0.44,0.34,1.53,1.82,16.86,1.63,2.05,1.54,3.63,,2.9,1.8
c_0,0.35,0.38,0.31,,0.31,0.31,1.27,1.23,2.24,17.34,2.57,4.66,2.95,1.85,3.13,2.33
f_0,0.35,,0.39,0.35,0.5,0.33,0.96,1.79,2.27,1.85,21.02,1.13,2.47,4.35,2.43,2.19
b_0,0.39,0.34,0.3,0.3,,0.41,1.55,1.32,1.91,1.6,2.73,21.03,3.67,1.96,2.61,3.67
h_0,0.64,0.62,0.44,0.64,0.4,0.48,,3.72,2.3,3.21,2.7,2.9,,2.54,7.71,2.89
e_0,,0.33,0.3,0.37,0.36,,1.81,2.09,1.8,2.08,1.39,1.97,3.66,33.06,2.45,2.1
g_0,0.31,0.62,0.9,0.46,0.46,0.84,2.98,,3.21,3.45,4.41,1.34,4.11,2.64,,
a_0,0.27,0.47,0.34,0.29,,,1.59,1.64,2.28,1.89,1.61,1.73,4.12,2.28,4.03,30.22
