,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.41,1.01,0.94,0.79,0.73,0.59,0.62,0.84,0.56,0.55,0.59,0.46,0.53,0.49,0.64
e_1,0.71,1.0,0.79,1.17,1.14,0.93,0.72,0.93,0.67,0.7,0.69,0.66,0.53,0.65,0.39,0.54
d_1,0.99,1.27,1.0,0.95,0.8,0.95,0.66,0.72,0.49,0.99,0.63,0.61,0.51,0.5,0.61,0.43
c_1,1.06,0.85,1.05,1.0,1.38,0.82,0.75,0.51,0.64,0.61,0.59,0.59,0.64,0.57,0.6,0.64
b_1,1.27,0.88,1.25,0.73,1.0,1.22,0.74,0.71,0.73,0.67,0.82,0.58,0.66,0.63,0.62,0.61
a_1,1.37,1.08,1.06,1.22,0.82,1.0,1.01,0.93,0.71,0.84,0.74,1.04,,0.63,0.62,0.64
h_1,1.73,1.35,1.45,1.35,1.3,0.97,1.0,0.84,1.0,0.81,0.82,0.82,0.73,0.84,0.71,0.9
d_0,1.68,1.02,1.37,2.14,1.54,1.05,1.18,1.0,1.05,0.99,0.97,0.96,0.95,1.02,0.89,1.01
g_1,1.22,1.46,2.03,1.52,1.34,1.41,0.99,0.98,1.0,0.77,0.95,1.11,0.76,0.83,0.89,0.86
c_0,1.84,1.34,1.06,1.66,1.55,1.28,1.23,0.98,1.34,1.0,1.01,1.31,1.18,1.01,0.88,0.9
f_0,2.02,1.39,1.59,1.73,1.28,1.24,1.3,1.07,1.03,0.94,1.0,1.09,0.92,1.05,1.36,0.7
b_0,1.84,1.41,1.62,1.72,1.94,0.84,1.21,0.99,0.92,0.76,0.96,1.0,1.45,1.1,0.98,0.94
a_0,2.34,1.77,1.86,1.59,1.61,,1.38,1.03,1.24,0.84,1.04,0.68,1.0,0.97,1.05,0.98
h_0,1.86,1.49,1.93,1.76,1.5,1.43,1.23,1.03,1.21,1.0,0.98,0.98,1.03,1.0,1.01,1.04
e_0,1.96,2.15,1.52,1.77,1.74,1.57,1.35,0.92,1.2,1.05,0.76,1.07,0.99,0.99,1.0,0.78
g_0,1.6,1.75,2.38,1.65,1.64,1.48,1.12,1.04,1.19,1.12,1.49,1.02,1.01,0.93,1.25,
