,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,7.84,11.4,13.56,19.59,14.9,3.75,2.51,2.67,3.49,2.3,2.85,1.68,2.57,,2.26
f_1,13.35,0.16,17.45,16.18,9.2,13.08,3.13,2.01,2.71,5.53,2.35,,1.13,2.47,2.58,1.78
c_1,13.25,11.49,0.16,11.64,14.01,15.71,3.47,1.47,,4.44,2.33,2.31,1.56,2.34,4.27,1.91
d_1,13.94,11.17,13.3,0.16,15.62,11.88,4.05,,3.47,2.21,2.25,2.23,1.55,2.14,2.68,1.26
b_1,13.71,17.97,6.23,9.77,0.14,20.87,3.2,3.21,2.82,4.35,,2.9,1.68,2.88,,1.73
a_1,19.55,18.8,12.98,12.92,7.59,0.1,3.77,2.65,2.22,4.25,3.37,2.21,1.49,,,1.86
h_1,3.26,3.72,3.81,4.52,3.1,2.43,0.07,0.69,0.7,0.94,0.74,0.6,,,0.36,0.46
d_0,1.29,2.83,2.66,,2.51,2.44,0.73,0.09,0.48,0.62,0.6,0.49,0.48,0.59,0.55,0.39
c_0,2.05,2.56,,1.44,1.75,3.34,0.7,0.66,0.08,0.67,0.48,0.59,0.39,0.69,0.49,0.47
g_1,3.91,2.94,3.89,3.2,3.4,3.5,0.74,0.83,0.72,0.06,0.83,0.58,0.41,0.68,0.64,
b_0,2.59,2.28,3.96,2.02,,2.41,0.67,0.6,0.34,0.69,0.07,0.56,0.37,0.79,0.58,0.36
f_0,4.2,,2.62,2.44,2.28,1.94,0.64,0.47,0.67,0.46,0.76,0.07,0.57,,0.38,0.16
h_0,2.26,1.57,1.44,1.6,1.81,2.56,,0.32,0.3,0.4,0.3,0.3,,0.23,0.44,0.28
a_0,2.84,2.26,1.91,3.66,3.09,,,0.81,0.38,0.86,0.28,,0.39,0.05,0.47,0.3
e_0,,3.69,2.56,3.19,,,0.5,0.55,0.41,0.73,0.67,0.29,0.29,0.47,0.05,0.45
g_0,2.08,2.08,1.65,2.06,2.6,1.86,0.29,0.26,0.28,,0.44,0.35,0.17,0.39,0.45,
