,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,1.14,0.83,0.88,0.79,0.56,0.63,0.46,0.46,0.44,0.46,0.35,0.37,0.51,0.36
f_1,1.3,1.0,1.05,1.08,0.75,0.66,0.4,0.4,0.39,0.52,0.39,0.38,0.3,0.37,0.23,0.34
c_1,0.88,0.95,1.0,1.07,1.32,0.73,0.51,0.33,0.33,0.42,0.31,0.38,0.34,0.32,0.32,0.35
d_1,1.21,0.92,0.94,1.0,1.03,0.7,0.48,0.46,0.59,0.37,0.43,0.42,0.35,0.28,0.31,0.26
b_1,1.14,1.36,0.76,0.98,1.0,1.46,0.57,0.48,0.62,0.54,0.42,0.41,0.39,0.33,0.33,0.33
a_1,1.26,1.51,1.37,1.42,0.7,1.0,0.77,0.6,0.48,0.54,0.61,0.54,0.47,0.38,0.5,0.44
h_1,1.84,2.33,1.99,2.06,1.72,1.27,1.0,0.85,0.86,1.14,0.81,0.75,0.72,0.59,0.66,0.73
d_0,1.55,2.45,3.07,2.22,2.13,1.77,1.15,1.0,0.85,0.99,0.95,0.9,0.85,0.65,0.78,0.9
c_0,2.14,2.64,2.83,1.65,1.52,2.04,1.17,1.12,1.0,1.0,1.2,0.86,0.93,0.87,0.81,0.76
g_1,2.21,1.97,2.47,2.69,1.79,1.8,0.89,1.0,1.0,1.0,0.94,1.07,0.7,0.6,0.71,0.6
b_0,2.31,2.61,3.24,2.22,2.43,1.61,1.2,1.11,0.8,1.06,1.0,0.9,0.84,1.18,0.79,0.8
f_0,2.12,2.67,2.62,2.47,2.54,1.78,1.36,1.08,1.09,0.9,1.08,1.0,0.98,0.9,1.17,0.63
h_0,2.67,3.43,3.04,2.82,2.54,2.17,1.42,1.19,1.06,1.45,1.17,1.06,1.0,0.81,0.95,1.15
a_0,2.75,2.76,2.86,3.53,3.12,2.54,1.8,1.49,1.17,1.62,0.86,1.19,1.26,1.0,0.98,0.99
e_0,2.04,4.37,3.06,3.23,3.08,2.08,1.51,1.21,1.25,1.33,1.29,0.86,1.08,1.07,1.0,0.95
g_0,2.72,2.85,2.95,4.03,3.03,2.33,1.42,1.08,1.26,1.74,1.27,1.49,0.83,1.05,1.16,1.0
