,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.29,0.92,0.92,0.92,0.74,0.58,0.64,0.58,0.53,0.59,0.57,0.48,0.6,0.62,0.51
e_1,0.77,1.0,0.89,1.23,0.98,0.78,0.82,0.87,0.75,0.67,0.63,0.68,0.58,0.58,0.63,0.63
d_1,1.09,1.11,1.0,0.81,0.92,0.88,0.72,0.71,0.52,0.86,0.65,0.62,0.62,0.56,0.48,0.56
c_1,1.09,0.81,1.22,1.0,1.24,0.87,0.67,0.46,0.73,0.52,0.56,0.63,0.67,0.62,0.51,0.58
b_1,1.08,1.01,1.09,0.83,1.0,1.33,0.79,0.71,0.78,0.83,0.7,0.62,0.59,0.53,0.64,0.64
a_1,1.35,1.26,1.13,1.14,0.76,1.0,1.0,0.85,0.83,0.81,0.96,0.75,0.79,0.75,0.62,0.65
h_1,1.76,1.24,1.39,1.41,1.31,0.97,1.0,0.85,1.11,0.85,0.76,0.73,0.86,0.72,0.97,0.65
d_0,1.5,1.12,1.57,2.28,1.37,1.1,1.18,1.0,1.14,0.85,0.87,1.0,0.99,0.76,1.02,0.94
g_1,1.72,1.34,1.92,1.43,1.3,1.19,0.91,0.91,1.0,0.98,0.94,1.11,0.72,0.76,0.82,0.79
c_0,1.82,1.53,1.18,1.86,1.14,1.22,1.13,1.18,0.98,1.0,1.36,0.88,1.0,1.06,1.03,0.89
b_0,1.71,1.57,1.5,1.78,1.4,0.9,1.32,1.2,1.05,0.77,1.0,0.98,0.95,1.32,0.94,0.83
f_0,1.72,1.44,1.55,1.56,1.66,1.32,1.38,1.06,0.9,1.06,1.08,1.0,1.03,0.93,0.73,1.34
h_0,2.04,1.67,1.64,1.54,1.64,1.28,1.16,1.02,1.39,0.96,1.07,0.96,1.0,0.9,1.07,0.8
a_0,1.77,1.75,1.75,1.78,1.73,1.37,1.42,1.29,1.22,0.96,0.76,1.07,1.15,1.0,0.95,1.07
g_0,1.71,1.67,2.03,1.93,1.61,1.5,1.05,1.0,1.19,0.97,1.06,1.36,0.93,0.98,1.0,1.02
e_0,1.94,1.76,1.74,1.71,1.6,1.5,1.52,1.11,1.27,1.09,1.08,0.76,1.27,1.05,0.96,1.0
