,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,9583.6,2677.4,4145.64,3743.09,5540.13,37139.92,2808505.31,6360255.05,16677352.6,21011621.52,32384691.56,25246372.88,64911235.71,146887476.39,78179520.87,323726565.51
f_1,3548.61,11669.01,3823.46,4327.55,4554.86,32758.7,2405070.25,5316060.71,7245249.49,20070546.7,11802042.96,29835666.99,66787379.37,126355451.59,97067137.28,288970659.68
c_1,2360.78,2382.55,18046.16,3656.12,8460.06,35315.32,2770358.45,5541736.33,6969294.23,10677375.11,28563044.58,24505054.5,70043041.12,133703220.25,136448314.29,285897712.24
d_1,2210.68,2631.1,2761.86,22535.89,4398.89,40884.36,2608830.63,7234477.03,3088489.62,46536763.82,30786006.18,39962580.12,93345521.22,130629914.72,149458502.4,316686024.93
b_1,1751.25,2466.69,3884.84,4695.19,27043.55,74347.42,2562023.87,5210057.22,9004869.57,24521071.57,28511984.99,15479371.33,51264455.32,119542079.28,146460485.74,365642821.73
a_1,1788.85,3062.33,4065.36,4429.35,5181.48,346823.72,3019745.35,5528762.37,8225867.37,26869843.06,26555355.83,26610239.85,23102431.63,123671019.97,189697329.97,230492869.96
h_1,2738.29,4336.32,4186.04,5002.14,5254.77,44710.95,8735675.07,10048612.72,9757242.1,24405127.91,28954494.69,35474439.17,76972861.45,83575787.08,169295099.97,453951039.83
g_1,2414.22,2548.92,4519.63,9040.58,5261.09,45491.05,3056718.86,24117808.47,7006432.77,32484837.73,50250187.92,39524805.38,79264117.54,151928352.68,181034242.34,199319814.24
d_0,2402.51,3596.98,9080.79,2490.99,5554.95,42153.43,3301130.71,6619965.47,19627544.31,20562099.76,31706866.91,30713688.05,77624170.28,148031877.49,125972166.31,397114221.74
c_0,2774.97,3788.49,2838.76,5662.55,5102.97,43566.99,3585312.13,8744892.66,9387631.34,70650677.43,37644359.13,83819031.72,100623924.43,162008171.94,182671502.93,393102966.98
f_0,2752.02,2114.35,5099.96,5141.49,5935.51,48982.56,3686094.23,7962594.42,11366802.08,29956577.59,85997063.12,46478537.93,120434173.33,176067618.05,393009881.54,368635082.82
b_0,2821.45,3304.11,4870.25,6465.8,2152.81,28815.82,3476433.58,10860880.85,8420491.46,35902386.15,33626039.86,99453245.64,171824335.25,155937780.79,186823128.0,365243549.12
a_0,2805.52,3539.2,4580.33,5358.65,5902.23,27864.37,3574164.64,9251999.93,8562077.91,30504377.92,47483541.26,36537018.89,260305952.54,171919304.69,201678942.99,353183732.81
h_0,2441.38,5038.71,4420.67,6044.44,5297.74,38555.85,1867258.1,9208433.73,10729104.24,32212002.13,27445957.43,32247932.81,110280309.77,90771643.06,159726643.78,482269179.77
e_0,1167.12,3885.63,4425.56,6839.7,6716.73,53393.7,3781036.37,7418384.85,8773487.24,36066429.74,33093942.09,35461898.03,66345444.68,174228355.18,566324239.85,388783154.15
g_0,2285.73,3195.5,5174.45,8796.83,5038.37,42903.34,3458676.98,4189851.56,8096040.75,25792781.84,53169861.41,37957289.36,90070239.77,145144349.69,208106775.49,263905020.78
