,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.4,0.58,0.67,0.9,0.8,0.59,1.64,2.66,1.47,1.78,1.73,2.05,2.11,1.91,1.4,2.02
d_1,0.81,2.46,0.83,0.66,0.74,0.73,1.45,0.95,1.33,2.62,1.58,2.09,1.87,1.7,1.92,2.18
f_1,1.11,0.76,2.48,0.78,0.74,0.71,1.29,1.68,1.35,1.54,1.94,0.68,2.16,1.96,1.46,1.92
c_1,0.68,0.82,0.76,2.57,1.36,0.7,1.51,1.53,1.3,0.52,1.42,1.53,1.8,1.62,1.68,2.61
b_1,0.69,0.83,0.85,0.56,2.75,1.39,1.49,1.7,1.68,1.66,0.86,1.73,2.32,1.22,1.83,1.87
a_1,0.97,0.8,0.81,0.92,0.57,3.3,1.33,1.29,1.5,1.78,1.73,1.45,2.13,0.77,1.67,1.99
h_1,0.9,1.11,1.3,0.98,0.97,1.02,3.81,1.88,2.23,1.92,2.35,1.91,1.33,2.21,2.3,2.66
d_0,0.93,0.57,1.07,1.72,0.81,1.16,2.31,3.53,2.04,1.88,2.49,1.93,3.04,2.28,1.84,2.62
g_1,0.85,1.44,0.89,1.12,0.89,0.99,1.7,1.87,4.21,2.03,2.14,2.98,1.86,2.05,1.89,1.47
c_0,0.95,1.0,1.31,0.64,0.95,0.88,2.19,2.37,1.95,3.75,3.9,2.49,3.48,2.43,2.18,2.76
b_0,1.15,1.21,1.03,1.27,0.6,0.74,2.13,2.21,1.88,1.9,3.98,2.1,3.35,3.67,1.96,2.36
f_0,0.95,1.05,0.6,1.09,0.98,1.09,2.16,2.26,2.1,2.57,2.6,4.2,2.64,2.76,4.36,2.52
h_0,0.94,1.19,1.17,1.25,0.75,1.05,1.2,2.18,2.55,1.56,1.82,2.06,1.89,2.3,2.17,3.48
a_0,1.0,1.16,1.07,1.09,1.1,,1.96,2.3,2.63,2.14,2.11,2.27,3.51,4.53,2.53,2.37
e_0,0.52,1.12,1.19,1.04,0.88,1.03,2.41,3.14,2.54,2.45,2.96,1.84,3.59,2.71,4.92,3.59
g_0,0.8,1.32,1.12,0.87,1.02,1.04,2.04,2.17,1.44,2.44,2.52,2.82,2.96,2.04,2.26,1.74
