,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.47,0.74,0.5,0.47,0.35,0.34,0.53,0.43,0.53,0.47,0.47,0.19,0.5,0.4,0.29,0.5
e_1,0.47,1.49,0.38,0.52,0.45,0.34,0.52,0.37,0.52,0.94,0.51,0.53,0.63,0.54,0.25,0.6
d_1,0.47,0.53,1.54,0.41,0.43,0.44,0.59,0.48,0.87,0.25,0.56,0.53,0.55,0.43,0.39,0.52
c_1,0.52,0.43,0.5,1.56,0.69,0.38,0.49,0.5,0.2,0.47,0.49,0.55,0.63,0.41,0.54,0.44
b_1,0.57,0.48,0.47,0.47,1.6,0.57,0.47,0.53,0.58,0.52,0.27,0.53,0.57,0.4,0.5,0.54
a_1,0.55,0.47,0.45,0.45,0.47,1.76,0.69,0.62,0.66,0.75,0.73,0.5,0.61,0.38,0.39,0.65
h_1,0.97,0.75,0.65,0.76,0.69,0.51,1.71,1.11,0.81,0.76,0.86,0.69,0.74,0.91,0.72,1.01
g_1,0.7,0.74,1.1,0.63,0.69,0.6,0.57,1.79,1.04,0.64,0.93,1.27,0.83,0.8,0.7,0.57
c_0,1.0,0.73,0.74,0.58,0.6,0.55,0.97,0.83,1.51,1.08,1.46,1.13,1.04,0.77,0.78,1.13
d_0,0.93,0.67,0.37,1.32,0.71,0.48,0.98,0.82,0.66,1.5,0.89,0.61,1.19,0.7,0.71,0.84
b_0,0.97,0.86,0.84,0.71,0.47,0.47,0.98,0.9,0.87,0.87,1.59,0.91,1.01,1.15,0.9,0.81
f_0,0.61,0.72,0.83,0.65,0.71,0.9,0.99,0.78,0.83,1.08,1.08,1.66,1.25,0.96,1.8,0.83
h_0,1.21,0.75,0.81,0.73,0.74,0.62,,0.9,0.83,0.7,0.85,0.74,0.52,0.75,0.86,0.93
a_0,1.05,0.75,0.98,1.05,0.72,,0.75,0.66,1.05,0.91,0.83,0.81,1.21,1.65,0.57,0.88
e_0,1.05,0.46,1.16,0.72,0.62,0.66,0.96,1.23,0.98,1.19,0.99,0.8,1.17,1.4,1.82,0.76
g_0,0.87,0.71,1.26,0.9,0.69,0.56,0.89,0.67,0.78,0.88,0.99,1.16,0.99,0.84,1.13,
