,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.04,1.08,1.55,1.68,1.42,1.14,0.58,0.57,0.47,0.52,0.5,0.45,0.4,0.34,0.41,0.34
f_1,1.7,1.04,1.53,1.61,1.37,1.24,0.48,0.54,0.43,0.45,0.47,0.41,0.38,0.27,0.33,0.34
d_1,1.69,1.71,1.04,1.38,1.48,1.28,0.6,0.45,0.49,0.52,0.42,0.47,0.41,0.32,0.43,0.25
c_1,1.47,1.73,2.12,1.05,1.84,1.48,0.66,0.62,0.52,0.34,0.47,0.44,0.45,0.41,0.46,0.37
b_1,1.88,2.06,1.95,1.18,1.05,1.92,0.72,0.67,0.66,0.51,0.58,0.61,0.53,0.45,0.45,0.43
a_1,2.58,2.56,2.33,2.22,1.41,1.06,0.95,0.99,0.74,0.91,0.73,0.9,0.8,0.59,0.75,0.57
h_1,4.15,4.47,3.98,3.93,3.92,3.28,1.24,1.73,1.17,1.25,1.24,1.17,1.08,1.11,1.01,0.95
g_1,4.48,5.36,4.98,4.62,4.36,3.49,1.43,1.26,1.39,1.36,1.5,1.27,1.22,0.95,1.25,1.1
c_0,5.48,5.84,3.83,6.87,5.11,4.16,2.09,1.94,1.34,2.0,1.53,1.86,1.6,1.26,1.46,1.12
d_0,4.08,5.14,6.49,6.35,5.44,4.27,2.19,2.2,1.64,1.38,1.49,1.52,1.52,1.37,1.52,1.24
f_0,5.76,7.52,5.61,6.1,5.11,4.58,2.35,1.67,1.82,1.92,1.34,1.71,1.63,1.32,1.66,0.98
b_0,6.04,6.5,4.98,7.49,6.68,4.53,2.08,2.35,1.19,1.89,1.64,1.36,1.72,1.51,1.39,1.25
a_0,7.04,7.27,7.18,6.97,8.79,6.42,3.02,2.82,1.84,2.05,2.01,1.28,1.38,1.74,1.37,1.39
h_0,7.52,8.31,7.82,7.07,6.34,5.26,3.03,2.67,2.04,1.97,2.14,1.99,1.96,1.79,1.76,1.77
e_0,8.77,9.78,7.24,7.57,7.57,5.83,3.04,2.79,2.2,2.21,1.46,2.2,2.23,1.88,1.46,1.52
g_0,8.87,8.91,8.59,9.01,7.87,6.49,2.81,3.18,2.3,2.44,2.67,2.21,2.26,1.57,2.11,1.92
