,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,9.59,0.75,0.62,0.97,0.67,0.63,0.97,0.87,2.23,0.83,0.96,1.0,1.0,1.13,0.72,0.8
f_1,2.07,10.43,0.61,0.7,0.62,0.58,0.88,0.78,0.91,0.65,0.57,0.86,0.89,0.7,0.66,0.94
d_1,0.72,0.69,12.82,0.53,0.6,0.7,0.79,1.01,0.63,2.76,1.13,1.42,1.06,1.03,1.02,1.02
c_1,0.55,0.65,0.67,12.66,1.88,0.73,0.88,0.9,0.77,0.53,0.79,0.64,0.9,0.88,0.98,0.91
b_1,0.53,0.69,0.68,0.72,12.52,1.82,1.06,1.05,0.82,0.97,1.06,0.64,0.98,0.84,1.06,1.0
a_1,0.53,0.9,0.79,0.73,0.7,19.98,1.13,0.74,0.92,0.96,0.96,0.92,1.0,0.68,0.89,1.05
h_1,0.69,1.11,0.96,0.8,0.66,0.64,3.26,1.64,0.92,1.0,1.19,1.0,0.77,1.04,1.14,1.26
g_1,0.65,0.75,1.5,0.67,0.64,0.68,1.11,3.85,0.85,1.14,2.26,0.95,1.03,1.06,1.54,0.88
d_0,0.55,0.79,0.55,2.0,0.9,0.78,1.07,0.9,1.82,0.71,1.13,0.95,1.15,1.22,1.21,1.2
c_0,0.77,0.78,1.02,0.59,0.61,0.73,1.1,1.1,1.04,2.14,1.43,3.56,1.31,1.63,1.37,1.43
f_0,0.53,0.68,1.03,0.95,0.79,0.85,1.19,1.29,1.06,1.08,2.66,1.31,1.3,1.32,3.16,1.49
b_0,0.79,0.8,1.01,0.78,0.59,0.58,1.05,1.28,0.93,0.93,1.29,2.55,1.34,3.24,1.47,1.37
h_0,0.73,1.17,0.92,0.79,0.69,0.76,0.64,1.42,1.01,0.87,1.14,0.94,0.83,0.84,1.15,1.41
a_0,0.73,0.81,1.0,0.74,0.73,0.63,1.15,1.07,0.92,1.02,1.12,0.99,1.32,2.6,1.29,1.12
e_0,0.48,1.07,0.98,0.77,0.89,0.64,1.25,1.19,0.9,1.16,0.86,1.4,1.23,1.43,2.89,1.3
g_0,0.58,0.52,2.05,0.95,0.58,0.69,1.01,0.96,0.81,1.17,1.78,1.34,1.2,1.2,1.1,0.91
