,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.35,0.67,0.59,0.86,0.93,0.66,1.45,2.75,1.76,1.51,1.73,1.98,2.54,2.06,0.91,2.07
f_1,1.16,2.42,0.68,0.84,0.59,0.67,1.57,1.51,1.79,1.26,1.87,0.8,1.76,1.76,1.57,2.61
d_1,0.87,0.84,2.54,0.54,0.84,0.8,1.48,0.58,2.55,1.38,1.54,1.77,2.05,1.76,1.42,1.79
c_1,0.78,0.62,0.91,2.63,1.32,0.7,1.26,1.35,0.49,1.32,1.68,1.63,2.22,1.41,1.86,1.87
b_1,0.57,0.92,0.7,0.7,2.81,1.29,1.48,1.98,1.65,1.87,1.16,1.64,1.98,1.85,1.79,1.74
a_1,0.86,0.93,0.73,0.8,0.51,3.21,1.96,1.95,1.29,1.07,1.59,1.44,2.03,1.07,2.19,2.37
h_1,0.92,1.31,1.2,0.99,0.98,0.74,3.85,1.86,2.13,2.34,2.27,2.02,1.59,2.11,1.81,3.17
d_0,0.86,1.16,0.63,1.85,0.96,0.9,1.72,3.51,1.87,1.84,2.06,2.33,2.76,1.91,2.07,2.55
c_0,1.01,1.19,1.04,0.73,0.85,1.26,2.02,1.81,3.65,2.01,3.6,2.36,2.82,2.28,2.35,3.0
g_1,0.87,0.89,1.66,0.99,0.76,1.18,1.72,1.96,1.97,4.38,1.99,2.92,2.37,1.79,2.84,1.39
b_0,1.06,1.05,1.2,0.99,0.39,1.13,2.09,2.42,2.05,2.04,3.86,2.28,2.81,3.54,2.52,2.95
f_0,0.87,0.68,1.13,1.25,0.94,1.18,2.03,2.23,2.49,2.29,2.56,3.98,2.99,2.24,3.78,2.7
h_0,0.83,1.33,0.96,1.0,0.98,1.06,1.39,2.47,2.3,2.63,2.12,2.58,1.74,2.01,2.47,3.22
a_0,0.92,1.23,1.06,1.25,0.75,,2.56,2.14,2.23,2.57,1.7,2.81,3.01,4.75,2.33,3.09
e_0,,1.17,1.24,0.96,1.06,1.05,1.94,2.33,2.29,2.16,2.81,2.3,3.32,2.52,4.9,2.79
g_0,0.94,0.77,1.53,1.08,1.12,0.75,1.69,2.03,2.19,1.39,2.31,3.47,2.43,2.27,2.21,2.05
