,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,1.03,0.93,1.18,1.07,1.04,1.12,1.49,0.97,1.05,0.91,0.97,1.14,1.42,1.12
f_1,1.24,1.0,1.06,0.98,0.97,0.84,0.8,1.03,0.88,0.86,0.98,0.97,0.94,0.8,0.76,0.96
c_1,0.97,0.95,1.0,1.05,1.26,0.9,1.05,0.95,0.66,0.85,1.0,0.88,1.05,1.11,0.99,0.92
d_1,1.07,1.02,0.95,1.0,0.9,1.01,1.05,0.83,0.98,1.3,1.07,1.06,1.14,0.95,0.93,0.82
b_1,0.85,1.04,0.79,1.11,1.0,1.35,1.09,1.04,1.08,1.11,1.01,1.36,0.89,1.08,0.99,1.32
a_1,0.93,1.2,1.11,0.99,0.74,1.0,1.14,1.01,1.03,1.12,0.94,1.14,0.86,1.15,1.19,0.94
h_1,1.0,1.19,0.93,1.0,0.95,0.87,1.0,1.2,0.96,0.87,0.86,0.97,0.92,1.01,0.93,1.09
g_1,0.96,0.95,1.05,1.21,0.98,1.0,0.84,1.0,0.91,0.95,1.2,0.89,0.87,0.94,1.01,1.01
d_0,0.68,1.12,1.45,1.04,0.91,0.9,1.04,1.12,1.0,0.84,0.96,1.03,1.01,0.94,0.92,1.25
c_0,1.11,1.22,1.04,0.73,0.92,0.88,1.15,1.03,1.12,1.0,0.98,1.37,1.0,1.02,0.93,1.15
f_0,0.91,1.13,1.12,0.96,0.93,0.96,1.13,0.81,1.03,0.91,1.0,1.11,1.02,1.12,1.52,0.8
b_0,1.06,1.01,1.12,0.98,0.74,0.79,1.0,1.15,0.96,0.71,0.92,1.0,1.36,0.99,0.98,0.99
a_0,1.07,1.02,1.05,0.86,1.11,1.1,1.08,1.14,0.98,0.91,0.99,0.72,1.0,0.92,1.14,0.92
h_0,0.91,1.22,0.95,0.96,0.95,0.89,0.95,1.13,1.07,1.01,0.85,0.94,1.07,1.0,0.95,1.14
e_0,0.82,1.4,0.92,1.06,0.97,0.94,1.05,0.94,1.02,1.04,0.66,1.0,0.82,1.17,1.01,0.91
g_0,0.9,1.01,1.08,1.2,0.79,0.97,0.88,1.05,0.87,0.89,1.26,1.02,1.02,0.84,1.14,1.0
