,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.51,1.0,1.25,0.85,0.99,0.84,1.18,1.7,0.99,1.11,0.98,1.11,1.2,1.01,0.96,1.26
f_1,1.45,1.51,1.02,0.94,0.88,0.67,0.95,1.25,1.01,1.01,0.87,0.79,1.07,1.03,0.83,1.06
c_1,0.91,1.06,1.57,1.11,1.46,0.86,1.22,1.02,0.83,0.8,0.9,0.96,1.21,0.87,1.01,1.1
d_1,1.16,1.13,0.81,1.6,0.91,0.87,1.2,1.03,1.8,1.35,0.96,1.17,1.28,1.05,0.99,1.11
b_1,1.02,1.16,0.94,1.02,1.63,1.49,1.26,1.25,1.23,1.05,0.98,1.07,1.27,0.96,1.07,1.0
a_1,1.12,1.34,1.14,1.05,0.83,1.78,1.38,1.27,1.49,1.36,1.16,1.13,1.69,1.09,1.15,1.41
h_1,1.28,1.66,1.22,1.31,1.11,0.9,1.85,1.31,1.48,1.38,1.49,1.4,1.3,1.24,1.29,1.66
d_0,1.16,1.26,1.98,1.14,1.33,0.98,1.56,1.82,1.08,1.27,1.34,1.31,1.51,1.23,1.36,1.62
c_0,1.48,1.46,1.24,1.22,0.99,1.02,1.42,1.74,1.88,2.14,1.47,1.51,1.79,1.57,1.29,1.48
b_0,1.44,1.53,1.6,1.23,1.06,0.8,1.62,1.69,1.5,1.92,1.53,1.41,1.69,2.34,1.44,1.7
g_1,1.31,1.42,1.37,1.66,1.22,0.94,1.56,1.37,1.55,1.42,2.07,1.83,1.46,1.4,1.36,1.45
f_0,1.19,1.43,1.45,1.46,1.24,1.14,1.68,1.63,1.6,1.53,1.53,2.0,1.82,1.33,2.36,1.44
h_0,1.4,1.74,1.41,1.49,1.18,0.94,1.54,1.48,1.47,1.54,1.69,1.39,1.56,1.44,1.3,1.94
a_0,1.51,1.5,1.61,1.43,1.16,0.81,1.78,1.76,1.48,1.25,1.5,1.52,1.62,1.93,1.56,1.69
e_0,1.25,1.65,1.35,1.63,1.35,1.13,1.55,1.49,1.76,1.59,1.61,1.29,1.99,1.48,1.96,1.62
g_0,1.29,1.41,1.44,1.85,1.34,1.04,1.56,1.51,1.74,1.45,1.42,2.12,1.64,1.43,1.48,1.49
