,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.13,2.76,5.5,5.29,5.67,5.19,1.73,1.68,1.09,0.97,1.1,1.23,0.81,0.91,1.04,2.56
f_1,4.63,1.13,4.69,5.45,5.14,4.85,1.14,1.54,1.04,1.21,1.08,2.25,0.49,0.82,1.03,1.02
d_1,6.09,6.53,1.12,5.22,5.37,6.16,1.47,1.03,3.6,0.97,1.12,0.95,0.86,0.45,1.04,1.11
c_1,4.64,6.06,7.86,1.14,5.61,4.97,1.73,1.48,0.69,2.22,0.97,1.11,0.87,0.92,0.99,0.96
b_1,6.29,8.13,6.08,3.58,1.14,5.7,1.86,2.54,1.32,2.22,2.91,1.36,1.03,0.97,1.54,1.33
a_1,10.66,10.35,10.52,10.07,5.07,1.15,3.28,3.49,2.28,1.82,2.11,1.79,1.37,1.51,3.2,1.67
h_1,15.37,16.79,15.43,18.55,19.64,15.58,1.76,4.46,3.9,3.14,2.91,3.81,4.06,2.53,3.26,2.77
g_1,21.83,22.89,19.32,21.86,26.43,18.73,5.03,1.8,4.61,4.12,4.34,4.02,2.43,5.82,5.09,4.71
d_0,12.14,20.77,40.28,24.17,21.07,22.65,7.65,8.24,2.38,4.58,4.65,4.72,3.47,3.71,4.22,4.65
c_0,29.06,24.61,12.28,48.35,22.02,32.47,7.65,6.29,7.31,2.3,6.95,4.52,3.91,3.97,3.98,4.4
b_0,27.33,26.04,24.11,41.44,49.27,28.65,7.33,9.48,5.45,2.9,2.38,5.79,4.26,4.15,4.81,5.32
f_0,27.33,66.54,25.21,32.9,26.19,29.07,6.07,4.61,5.68,4.79,7.24,2.48,5.24,2.93,6.65,5.16
h_0,33.24,40.37,29.76,32.23,30.28,28.65,15.17,10.18,6.8,8.24,6.43,5.72,7.82,5.21,5.49,6.88
g_0,47.92,46.66,40.78,40.39,39.28,42.35,7.93,17.74,9.54,7.02,7.44,6.78,4.43,9.43,8.65,6.6
a_0,49.86,50.61,39.32,38.45,49.27,77.92,11.28,10.33,8.81,7.82,3.98,6.44,5.89,7.59,2.75,7.67
e_0,61.5,58.9,41.29,46.25,43.39,38.2,11.73,11.34,9.28,9.09,8.83,4.09,7.41,6.71,9.89,2.73
