,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.13,3.94,4.17,5.28,5.51,5.74,1.07,1.29,0.97,1.09,0.96,2.05,0.48,0.81,0.91,0.92
e_1,2.76,1.12,6.07,5.51,4.75,4.59,1.62,1.94,1.12,1.07,1.13,1.41,0.8,1.48,0.86,2.23
d_1,5.88,6.59,1.12,5.49,4.88,3.96,1.61,1.03,1.02,3.42,1.07,1.03,0.75,1.02,0.47,1.2
c_1,5.67,4.6,7.16,1.13,5.89,7.36,1.72,1.62,2.26,0.62,1.23,1.17,0.91,1.2,0.84,1.16
b_1,8.69,9.7,7.83,3.51,1.14,7.39,2.07,2.32,1.94,1.66,3.47,1.42,1.25,1.56,1.48,1.37
a_1,13.63,11.45,9.65,12.91,4.56,1.14,3.07,2.95,2.07,2.09,3.19,1.79,1.58,6.78,1.25,1.87
h_1,16.99,16.07,15.77,18.64,19.08,15.65,1.79,5.2,3.06,3.78,3.32,3.51,4.22,3.1,2.65,3.41
g_1,24.93,22.98,21.22,21.43,21.88,23.99,4.19,1.82,5.11,5.22,4.93,4.22,2.78,4.3,5.1,5.01
c_0,24.45,22.7,11.65,50.81,27.89,22.8,6.78,6.9,2.36,5.73,4.74,4.25,3.28,5.0,2.83,4.32
d_0,23.68,11.78,45.83,26.25,26.16,28.86,6.83,9.14,6.49,2.38,5.28,4.94,3.55,4.08,3.84,4.43
b_0,25.78,23.7,18.99,33.51,70.5,21.23,6.43,7.12,2.61,6.16,2.23,4.72,3.13,6.67,3.03,4.32
f_0,61.11,27.74,22.03,22.34,37.32,21.99,7.89,5.63,5.03,4.79,5.48,2.41,4.18,4.71,2.44,5.01
h_0,36.43,32.01,29.38,32.14,34.3,27.57,15.5,9.8,7.13,8.74,5.97,7.12,9.68,6.35,4.89,5.33
a_0,45.11,29.26,35.07,37.06,48.81,68.41,11.27,9.66,7.91,9.24,3.95,6.77,4.68,2.48,5.52,6.96
g_0,49.21,44.06,38.19,47.01,44.53,32.98,8.77,21.12,6.36,8.99,7.19,8.98,3.91,8.16,11.03,7.93
e_0,57.41,68.09,41.91,43.15,43.76,36.94,10.99,8.89,7.46,7.44,8.07,3.56,6.26,6.45,7.28,2.54
