,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.08,1.22,1.17,1.39,3.11,16.45,20.54,37.52,34.24,45.75,38.31,84.85,72.1,92.92,89.2
f_1,0.93,1.0,1.47,1.31,1.37,3.5,13.63,28.73,22.75,29.23,35.83,36.92,63.18,66.99,57.73,90.41
e_1,0.82,0.68,1.0,1.34,1.33,3.15,16.75,21.26,25.09,41.67,41.39,38.14,65.59,58.14,77.5,86.06
c_1,0.86,0.76,0.75,1.0,1.7,2.59,16.06,21.14,19.03,17.45,31.61,34.16,59.68,70.54,71.22,71.24
b_1,0.72,0.73,0.74,0.59,1.0,3.39,10.95,18.14,16.34,23.89,23.92,26.39,41.93,53.41,62.22,71.82
a_1,0.32,0.29,0.32,0.38,0.3,1.0,4.93,8.69,8.67,8.09,11.01,11.68,20.19,24.6,22.61,24.91
h_1,0.06,0.07,0.06,0.07,0.09,0.21,1.0,1.86,1.48,1.79,2.36,2.38,4.26,4.79,5.24,6.45
g_1,0.05,0.03,0.05,0.05,0.06,0.11,0.55,1.0,1.04,1.22,1.57,2.01,2.72,2.21,3.59,3.33
c_0,0.03,0.04,0.04,0.05,0.06,0.12,0.69,0.97,1.0,1.41,2.02,1.5,3.14,2.5,3.14,3.3
d_0,0.03,0.03,0.02,0.06,0.04,0.12,0.55,0.83,0.71,1.0,1.21,1.35,2.13,2.19,2.79,3.14
b_0,0.02,0.03,0.03,0.03,0.04,0.08,0.43,0.67,0.51,0.83,1.0,1.12,2.75,2.16,2.57,2.78
f_0,0.03,0.03,0.03,0.03,0.04,0.08,0.41,0.5,0.65,0.75,0.9,1.0,1.79,2.1,2.69,1.96
a_0,0.01,0.01,0.02,0.02,0.02,0.06,0.24,0.36,0.32,0.43,0.36,0.57,1.0,1.06,0.98,1.35
h_0,0.01,0.02,0.02,0.01,0.02,0.04,0.21,0.46,0.4,0.45,0.48,0.48,0.96,1.0,1.07,1.46
e_0,0.01,0.02,0.01,0.01,0.02,0.04,0.21,0.29,0.32,0.36,0.4,0.37,1.05,0.88,1.0,1.1
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.16,0.31,0.31,0.3,0.34,0.49,0.74,0.66,0.87,0.99
