,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.73,1.31,0.76,0.82,0.75,0.6,0.82,1.04,0.91,0.81,0.91,0.6,0.92,1.03,0.59,0.85
e_1,0.89,1.76,0.71,1.0,0.77,0.72,1.03,1.53,0.8,0.93,0.98,0.94,0.99,1.16,0.79,0.95
d_1,0.94,0.78,2.0,0.67,0.68,0.8,0.92,0.58,1.67,0.88,1.3,1.08,1.12,1.01,1.11,1.06
c_1,0.8,0.76,0.75,1.93,1.36,0.83,0.96,0.81,0.71,0.92,0.62,0.95,0.81,0.85,1.05,0.91
b_1,0.73,0.7,0.83,0.8,2.0,1.51,0.99,0.95,0.87,1.03,0.69,0.95,1.03,0.71,0.88,0.94
a_1,0.87,0.75,0.91,0.82,0.79,2.67,1.1,1.01,0.93,1.08,1.08,1.11,1.11,0.63,1.13,1.15
h_1,1.13,0.83,0.97,0.9,0.77,0.74,1.83,0.94,1.02,1.31,1.0,1.04,0.82,1.01,1.08,1.38
d_0,0.9,0.78,0.68,1.5,0.99,0.67,1.02,1.4,0.62,0.99,0.86,1.05,0.95,0.89,1.02,0.95
c_0,0.99,0.9,0.98,0.7,0.7,0.79,1.12,1.06,1.53,1.1,1.99,1.03,1.13,1.36,1.28,1.19
g_1,0.75,0.75,1.43,0.84,0.79,0.76,0.94,0.84,0.99,2.18,1.04,1.61,1.14,1.05,1.42,0.87
b_0,1.03,0.95,1.07,0.88,0.55,0.56,1.08,0.99,1.08,1.2,1.85,1.16,1.12,2.19,1.17,1.14
f_0,0.78,0.73,1.07,0.93,0.92,0.85,1.09,0.95,1.13,1.18,1.21,1.98,1.17,1.09,2.25,1.13
h_0,1.07,0.86,1.02,0.89,0.84,0.76,0.85,0.94,1.04,1.19,1.14,1.1,0.75,1.02,1.05,1.29
a_0,0.83,0.87,1.04,0.96,0.85,0.5,1.04,0.98,1.13,1.19,1.28,1.25,1.15,2.16,1.1,1.3
e_0,0.95,0.62,0.93,0.88,0.97,0.94,1.04,0.8,1.17,1.07,1.28,1.34,1.39,1.12,2.29,1.1
g_0,0.73,0.75,1.33,0.9,0.85,0.75,1.06,0.98,1.09,0.97,1.06,1.82,1.07,1.25,1.25,0.98
