,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.82,1.29,1.24,1.45,1.37,0.73,0.93,0.59,0.82,0.56,0.75,0.52,0.5,1.31,0.64
f_1,1.58,0.41,1.24,1.3,1.05,1.44,0.54,0.77,0.58,0.58,0.58,1.22,0.35,0.55,0.57,0.44
d_1,1.43,1.22,0.41,1.65,1.31,1.14,0.68,0.45,0.61,1.65,0.67,0.57,0.46,0.45,0.61,0.37
c_1,1.22,1.3,1.47,0.39,1.46,1.09,0.67,0.83,1.01,0.33,0.69,0.52,0.55,0.62,0.57,0.51
b_1,1.41,1.57,1.52,0.75,0.36,1.79,0.64,0.67,0.7,0.57,0.93,0.61,0.52,0.52,0.54,0.46
a_1,1.25,1.55,1.45,1.75,0.66,0.29,0.95,0.75,0.52,0.76,0.71,0.64,0.7,1.55,0.5,0.64
h_1,0.89,1.13,0.79,1.12,1.16,0.75,0.26,0.56,0.41,0.43,0.46,0.38,0.52,0.54,0.44,0.41
g_1,0.87,1.05,0.97,0.88,1.01,0.98,0.45,0.24,0.4,0.44,0.44,0.49,0.32,0.59,0.38,0.56
c_0,0.91,1.04,0.64,2.32,1.06,1.08,0.52,0.49,0.28,0.47,0.47,0.41,0.43,0.44,0.37,0.42
d_0,0.54,1.13,1.63,1.15,1.06,0.93,0.61,0.65,0.48,0.27,0.41,0.41,0.4,0.46,0.38,0.37
b_0,0.89,0.93,0.84,1.03,2.1,1.15,0.48,0.64,0.29,0.47,0.26,0.41,0.44,0.54,0.45,0.34
f_0,0.84,1.5,0.83,1.04,1.13,0.94,0.67,0.37,0.4,0.42,0.41,0.25,0.37,0.52,0.51,0.25
h_0,0.89,1.11,1.05,0.95,1.09,0.64,0.91,0.51,0.39,0.45,0.34,0.38,0.59,0.38,0.42,0.42
a_0,0.97,1.12,0.99,0.87,1.14,,0.51,0.48,0.41,0.37,0.25,0.36,0.36,0.22,0.44,0.3
e_0,1.36,1.19,0.96,0.94,0.99,0.97,0.57,0.51,0.39,0.38,0.33,0.21,0.29,0.48,0.21,0.42
g_0,0.75,1.19,1.05,0.98,1.25,0.71,0.4,0.7,0.37,0.43,0.44,0.49,0.31,0.45,0.34,0.53
