,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.26,0.94,0.93,0.91,0.72,0.61,0.67,0.59,0.57,0.59,0.57,0.5,0.58,0.58,0.49
e_1,0.79,1.0,0.89,1.22,0.96,0.81,0.8,0.88,0.72,0.64,0.63,0.7,0.58,0.57,0.62,0.6
d_1,1.07,1.09,1.0,0.85,0.92,0.89,0.72,0.67,0.54,0.83,0.64,0.64,0.62,0.56,0.49,0.56
c_1,1.08,0.84,1.19,1.0,1.21,0.88,0.69,0.46,0.72,0.56,0.53,0.62,0.66,0.59,0.55,0.56
b_1,1.08,1.02,1.08,0.86,1.0,1.31,0.78,0.69,0.75,0.84,0.8,0.6,0.59,0.55,0.65,0.61
a_1,1.39,1.22,1.1,1.12,0.78,1.0,0.95,0.89,0.85,0.85,0.99,0.75,0.82,0.79,0.66,0.69
h_1,1.7,1.29,1.37,1.42,1.32,1.02,1.0,0.85,1.09,0.83,0.79,0.77,0.83,0.73,0.94,0.7
d_0,1.48,1.12,1.58,2.18,1.46,1.08,1.18,1.0,1.14,0.82,0.86,0.97,0.94,0.85,0.99,0.99
g_1,1.67,1.39,1.94,1.36,1.36,1.19,0.93,0.89,1.0,1.0,0.94,1.08,0.74,0.82,0.8,0.82
c_0,1.77,1.54,1.23,1.7,1.17,1.08,1.18,1.25,0.99,1.0,1.29,0.91,1.02,1.06,0.95,0.97
b_0,1.74,1.55,1.55,1.86,1.34,0.97,1.27,1.19,1.05,0.8,1.0,1.03,0.98,1.29,0.98,0.89
f_0,1.71,1.39,1.57,1.6,1.72,1.3,1.29,1.08,0.93,1.04,0.98,1.0,1.0,0.93,0.75,1.39
h_0,2.0,1.64,1.63,1.55,1.68,1.27,1.2,1.02,1.36,1.0,1.02,1.01,1.0,0.94,1.04,0.88
a_0,1.83,1.71,1.77,1.83,1.74,1.25,1.4,1.17,1.14,0.95,0.79,1.01,1.08,1.0,1.0,1.02
g_0,1.74,1.68,1.97,1.84,1.55,1.43,1.09,1.05,1.22,1.04,1.02,1.32,0.95,0.96,1.0,1.09
e_0,1.93,1.69,1.78,1.71,1.72,1.38,1.42,1.05,1.28,1.03,1.02,0.76,1.14,1.04,0.93,1.0
