,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.65,1.02,0.85,0.94,0.89,0.81,0.34,0.37,0.41,0.33,0.33,0.36,0.22,0.31,0.29,0.28
e_1,0.7,0.65,0.96,1.09,1.01,0.82,0.42,0.46,0.42,0.33,0.36,0.44,0.29,0.3,0.32,0.42
d_1,1.06,1.07,0.64,0.97,0.94,0.75,0.38,0.51,0.31,0.4,0.31,0.34,0.25,0.29,0.22,0.31
c_1,1.03,0.84,1.13,0.63,1.08,0.82,0.42,0.24,0.47,0.38,0.32,0.35,0.3,0.32,0.25,0.31
b_1,1.12,0.98,1.1,0.71,0.62,1.24,0.5,0.35,0.49,0.47,0.44,0.35,0.3,0.33,0.28,0.31
a_1,1.43,1.24,1.34,1.18,0.69,0.56,0.71,0.43,0.6,0.45,0.63,0.42,0.41,0.52,0.37,0.38
h_1,1.72,1.67,1.62,1.69,1.37,1.13,0.54,0.54,0.73,0.61,0.59,0.52,0.52,0.47,0.44,0.49
d_0,1.62,1.15,1.82,2.19,1.75,1.71,0.92,0.55,0.79,0.6,0.75,0.62,0.52,0.59,0.56,0.61
g_1,1.74,1.73,1.71,1.65,1.62,1.4,0.65,0.7,0.51,0.64,0.66,0.66,0.42,0.55,0.56,0.54
c_0,1.83,1.83,1.25,2.06,1.65,1.78,0.87,0.82,0.73,0.54,0.76,0.64,0.55,0.64,0.49,0.63
b_0,1.94,1.78,1.6,2.26,2.01,1.5,0.81,0.72,0.71,0.44,0.53,0.58,0.54,0.67,0.47,0.57
f_0,2.32,1.63,1.8,1.8,1.71,1.81,0.89,0.72,0.59,0.64,0.74,0.53,0.59,0.68,0.4,0.67
h_0,2.13,2.05,2.13,1.95,2.03,1.56,1.06,0.82,0.82,0.7,0.68,0.66,0.68,0.66,0.6,0.54
a_0,2.17,2.2,2.09,2.15,2.57,1.82,1.06,0.9,0.87,0.64,0.52,0.8,0.6,0.53,0.58,0.69
g_0,2.21,1.97,2.43,2.27,2.19,1.93,0.86,0.81,0.99,0.86,0.76,0.86,0.55,0.66,0.67,0.66
e_0,2.78,2.3,1.99,2.18,2.03,2.15,1.04,0.79,0.93,0.76,0.85,0.49,0.72,0.76,0.56,0.52
