,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.18,0.76,0.72,0.6,0.8,0.79,0.16,0.18,0.17,0.25,0.14,0.31,0.08,0.15,0.13,0.14
e_1,0.42,0.17,1.01,0.74,0.94,0.97,0.25,0.17,0.15,0.26,0.17,0.2,0.13,0.42,0.17,0.14
c_1,0.83,0.59,0.15,1.02,0.76,0.82,0.28,0.09,0.34,0.18,0.15,0.13,0.11,0.15,0.14,0.11
d_1,0.81,0.8,0.91,0.15,0.76,0.72,0.19,0.42,0.14,0.14,0.17,0.13,0.12,0.11,0.14,0.06
b_1,0.9,1.15,0.38,0.84,0.13,0.7,0.23,0.18,0.19,0.26,0.56,0.17,0.14,0.14,0.18,0.13
a_1,0.95,0.82,0.84,1.09,0.35,0.1,0.26,0.22,0.17,0.23,0.3,0.17,0.11,0.19,2.06,0.12
h_1,0.58,0.66,0.6,0.6,0.65,0.47,0.06,0.15,0.11,0.2,0.11,0.12,0.18,0.11,0.15,0.1
d_0,0.66,0.34,0.69,1.3,0.76,0.54,0.2,0.07,0.15,0.2,0.15,0.13,0.09,0.11,0.1,0.11
c_0,0.67,0.63,1.62,0.32,0.71,0.51,0.17,0.15,0.06,0.18,0.12,0.14,0.08,0.12,0.11,0.08
g_1,0.7,0.63,0.69,0.62,0.71,0.46,0.13,0.13,0.13,0.05,0.13,0.11,0.07,0.14,0.17,0.11
b_0,0.63,0.47,1.05,0.55,1.8,0.57,0.17,0.13,0.06,0.17,0.05,0.11,0.08,0.14,0.11,0.08
f_0,1.21,0.67,0.57,0.55,0.6,0.46,0.17,0.12,0.12,0.1,0.13,0.05,0.1,0.1,0.13,0.05
h_0,0.69,0.51,0.62,0.48,0.59,0.64,0.31,0.13,0.12,0.17,0.11,0.12,0.14,0.12,0.1,0.1
e_0,1.01,0.95,0.52,0.61,0.53,0.58,0.15,0.1,0.13,0.14,0.12,0.06,0.1,0.04,0.11,0.08
a_0,0.69,0.51,0.81,0.54,0.92,,0.16,0.14,0.1,0.19,0.05,0.1,0.09,0.11,0.04,0.07
g_0,0.59,0.64,0.76,0.54,0.64,0.63,0.13,0.13,0.11,0.42,0.13,0.12,0.06,0.09,0.11,0.14
