,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.65,0.67,0.94,1.0,0.96,0.9,0.46,0.5,0.35,0.46,0.35,0.44,0.29,0.3,0.4,0.29
f_1,1.05,0.65,0.89,0.97,0.88,0.77,0.37,0.45,0.34,0.36,0.35,0.36,0.22,0.31,0.28,0.28
d_1,1.03,1.02,0.65,1.02,0.84,0.74,0.41,0.31,0.38,0.44,0.37,0.34,0.27,0.29,0.33,0.21
c_1,0.85,1.02,1.16,0.63,1.16,0.83,0.46,0.5,0.39,0.25,0.35,0.35,0.31,0.34,0.29,0.29
b_1,1.0,1.23,1.24,0.7,0.61,1.23,0.49,0.49,0.49,0.36,0.46,0.37,0.35,0.34,0.36,0.34
a_1,1.26,1.4,1.43,1.24,0.68,0.55,0.66,0.56,0.5,0.54,0.63,0.49,0.44,0.47,0.51,0.43
h_1,1.5,1.58,1.47,1.6,1.44,1.31,0.53,0.72,0.56,0.58,0.54,0.51,0.5,0.51,0.51,0.45
g_1,1.7,1.67,1.7,1.65,1.51,1.42,0.63,0.51,0.58,0.6,0.62,0.67,0.46,0.61,0.57,0.53
c_0,1.75,1.82,1.22,2.36,1.65,1.45,0.78,0.7,0.55,0.81,0.74,0.59,0.5,0.56,0.58,0.47
d_0,1.2,1.68,2.03,1.99,1.95,1.42,0.82,0.88,0.59,0.55,0.6,0.61,0.56,0.58,0.55,0.55
b_0,1.74,1.75,1.51,2.15,1.96,1.37,0.82,0.78,0.47,0.75,0.53,0.6,0.55,0.69,0.57,0.51
f_0,1.57,2.1,1.72,2.07,2.01,1.51,0.82,0.61,0.65,0.69,0.67,0.52,0.53,0.65,0.74,0.38
h_0,2.05,2.26,2.05,2.03,1.72,1.38,1.03,0.84,0.69,0.78,0.68,0.71,0.64,0.64,0.64,0.63
a_0,2.14,2.07,1.94,2.13,2.39,2.11,0.95,0.9,0.67,0.73,0.52,0.71,0.6,0.54,0.59,0.53
e_0,2.35,3.02,1.98,2.37,2.19,1.56,0.89,0.81,0.69,0.75,0.77,0.47,0.56,0.73,0.51,0.5
g_0,2.11,2.29,2.33,2.38,2.02,1.66,0.83,1.04,0.75,0.86,0.78,0.86,0.52,0.66,0.69,0.64
