,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.07,3.47,3.44,3.29,3.63,2.63,0.91,1.3,1.0,0.82,0.84,1.52,0.75,0.5,0.81,0.69
e_1,2.26,1.07,3.53,2.88,3.24,2.67,1.38,1.23,1.3,1.04,1.04,1.12,0.9,0.82,0.69,1.64
d_1,3.22,3.9,1.07,3.4,3.13,2.85,1.36,0.75,1.91,1.18,1.09,0.97,0.88,0.93,0.52,1.02
c_1,3.3,4.01,3.97,1.07,3.97,3.35,1.22,1.18,0.63,1.76,0.93,0.89,0.96,0.77,0.78,0.73
b_1,3.8,4.18,4.33,2.47,1.07,4.46,1.78,1.64,1.32,1.27,1.81,1.16,1.15,0.95,0.89,1.06
a_1,6.09,5.79,4.54,5.32,2.68,1.07,2.27,2.31,1.5,1.72,1.43,1.18,4.31,1.45,0.98,1.32
h_1,9.4,6.62,7.31,8.31,6.55,5.15,1.37,3.06,2.21,2.33,1.89,1.84,1.94,3.41,1.75,1.95
g_1,9.39,8.31,9.52,9.73,7.98,6.53,2.69,1.38,2.31,2.26,2.32,2.35,1.92,1.48,3.33,2.36
d_0,10.42,5.13,15.04,11.89,7.74,8.15,3.01,4.37,1.66,2.79,2.39,2.19,2.32,2.38,1.7,1.91
c_0,12.21,8.03,5.22,20.12,9.51,6.99,2.95,3.89,2.81,1.61,3.85,2.56,2.7,2.1,1.94,1.8
b_0,10.69,8.05,7.92,12.12,17.36,8.91,4.27,3.79,3.23,1.65,1.67,2.46,3.67,2.52,2.73,2.22
f_0,17.81,8.63,10.92,10.66,8.29,13.35,4.23,3.11,3.09,2.97,3.57,1.68,3.03,2.49,1.8,4.63
a_0,14.86,10.75,12.2,12.66,14.43,,5.49,5.38,3.37,2.9,2.14,3.15,1.64,2.48,2.41,2.55
h_0,15.01,11.79,9.82,12.7,11.96,10.34,6.92,5.6,3.47,3.52,3.08,3.43,3.24,3.8,3.28,3.1
g_0,13.63,13.93,16.35,15.49,14.16,13.69,4.4,7.24,4.67,4.57,3.73,4.32,4.1,2.52,4.83,3.32
e_0,23.29,18.94,11.68,15.91,12.96,12.9,4.76,4.67,3.99,4.5,3.83,1.82,4.71,3.38,2.84,1.66
