,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.74,0.91,1.13,1.01,0.97,0.75,0.86,0.77,0.69,0.61,0.72,0.59,0.65,0.63,0.63
f_1,1.36,1.0,0.91,0.95,0.9,0.73,0.54,0.68,0.63,0.58,0.58,0.58,0.51,0.51,0.59,0.39
d_1,1.09,1.1,1.0,0.92,0.9,0.81,0.74,0.78,0.51,0.87,0.78,0.61,0.63,0.56,0.46,0.51
c_1,0.89,1.06,1.09,1.0,1.32,0.81,0.76,0.48,0.65,0.51,0.52,0.53,0.58,0.55,0.57,0.57
b_1,0.99,1.11,1.09,0.76,1.0,1.25,0.78,0.69,0.69,0.71,0.6,0.7,0.59,0.55,0.57,0.68
a_1,1.03,1.37,1.24,1.23,0.79,1.0,0.85,0.79,0.9,0.78,1.02,0.8,0.8,0.91,0.65,0.66
h_1,1.3,1.83,1.39,1.32,1.28,1.15,1.0,1.03,1.12,0.93,0.74,0.85,0.87,0.79,1.16,0.86
d_0,1.17,1.39,1.33,2.15,1.52,1.28,0.97,1.0,1.02,0.75,0.96,0.95,1.0,0.78,0.95,0.83
g_1,1.36,1.47,1.95,1.57,1.47,1.15,0.9,0.93,1.0,0.89,0.91,1.15,0.78,0.86,0.88,0.95
c_0,1.49,1.63,1.15,1.99,1.44,1.27,1.07,1.27,1.08,1.0,1.43,1.01,1.04,0.99,0.93,0.91
b_0,1.64,1.71,1.4,1.88,1.53,0.96,1.34,1.0,1.09,0.71,1.0,1.06,1.04,1.3,0.84,0.77
f_0,1.42,1.69,1.63,1.8,1.43,1.32,1.18,1.09,0.85,0.95,0.92,1.0,0.98,0.85,0.8,1.33
h_0,1.7,1.99,1.49,1.72,1.78,1.18,1.19,1.03,1.3,0.93,0.98,0.96,1.0,0.87,1.07,0.94
a_0,1.58,1.87,1.79,1.89,1.88,1.17,1.27,1.26,1.16,1.0,0.76,1.05,1.2,1.0,1.27,0.95
g_0,1.67,1.71,2.14,1.75,1.77,1.45,0.87,1.09,1.17,1.13,1.17,1.21,0.97,0.83,1.0,1.05
e_0,1.72,2.69,1.89,1.71,1.54,1.35,1.25,1.19,1.22,1.13,1.28,0.73,1.08,1.05,1.0,1.0
