,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.73,0.63,0.72,0.66,0.6,0.28,0.4,0.28,0.29,0.28,0.35,0.19,0.25,0.24,0.28
e_1,0.47,0.42,0.66,0.79,0.78,0.72,0.38,0.39,0.28,0.38,0.32,0.36,0.26,0.32,0.42,0.29
d_1,0.7,0.76,0.39,0.62,0.69,0.59,0.39,0.25,0.31,0.4,0.28,0.29,0.25,0.29,0.26,0.18
c_1,0.67,0.54,0.82,0.38,0.71,0.68,0.33,0.41,0.34,0.19,0.28,0.32,0.28,0.29,0.31,0.24
b_1,0.74,0.63,0.72,0.45,0.36,0.8,0.44,0.38,0.38,0.3,0.48,0.33,0.26,0.28,0.36,0.26
a_1,0.81,0.72,0.68,0.6,0.41,0.3,0.41,0.38,0.35,0.37,0.36,0.29,0.27,0.45,0.38,0.31
h_1,0.68,0.63,0.61,0.66,0.57,0.49,0.23,0.42,0.28,0.28,0.27,0.26,0.34,0.26,0.28,0.27
g_1,0.66,0.71,0.64,0.59,0.61,0.52,0.25,0.21,0.31,0.29,0.29,0.32,0.21,0.31,0.26,0.29
c_0,0.75,0.73,0.42,0.76,0.6,0.57,0.34,0.28,0.23,0.37,0.34,0.32,0.28,0.29,0.35,0.24
d_0,0.63,0.42,0.72,0.83,0.66,0.59,0.37,0.51,0.28,0.24,0.31,0.26,0.29,0.28,0.27,0.25
b_0,0.73,0.65,0.57,0.77,0.65,0.56,0.32,0.29,0.18,0.27,0.22,0.26,0.25,0.31,0.28,0.23
f_0,0.76,0.6,0.58,0.64,0.63,0.58,0.34,0.23,0.26,0.34,0.3,0.2,0.27,0.31,0.33,0.18
h_0,0.72,0.62,0.61,0.62,0.59,0.59,0.33,0.35,0.26,0.25,0.29,0.25,0.28,0.25,0.29,0.24
a_0,0.71,0.56,0.58,0.72,0.81,0.64,0.33,0.31,0.24,0.29,0.19,0.29,0.26,0.19,0.24,0.23
e_0,0.89,0.65,0.67,0.57,0.61,0.5,0.3,0.31,0.27,0.29,0.27,0.15,0.25,0.41,0.17,0.19
g_0,0.61,0.57,0.67,0.67,0.66,0.58,0.28,0.33,0.28,0.29,0.28,0.3,0.21,0.28,0.31,0.27
