,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.18,11.92,11.91,11.13,12.91,11.14,2.86,2.52,2.31,5.28,3.26,,2.05,1.01,2.4,3.26
c_1,10.94,0.16,13.68,12.1,29.11,15.55,2.74,1.13,,3.82,3.55,2.24,3.3,1.43,2.54,1.91
e_1,7.48,12.94,0.16,13.67,12.55,16.98,3.46,2.25,3.02,3.9,2.6,2.82,1.96,1.81,,2.22
b_1,13.99,6.49,10.93,0.15,12.46,15.87,5.27,2.83,3.02,3.99,,2.04,2.85,1.81,2.21,1.56
d_1,13.65,13.64,15.23,10.22,0.15,8.77,2.57,,3.44,1.86,2.66,2.47,3.34,1.98,2.87,1.33
a_1,14.05,12.31,19.24,8.7,12.53,0.1,3.67,2.59,1.93,3.46,3.0,2.46,,2.39,2.65,1.6
h_1,2.93,4.57,2.98,3.23,3.15,2.88,0.06,0.63,0.67,0.98,0.73,0.65,0.84,,,0.37
d_0,3.49,1.83,1.47,3.62,,2.84,0.67,0.09,0.59,0.66,0.41,0.47,0.52,0.26,0.65,0.32
c_0,2.25,,2.59,2.82,1.31,2.54,0.67,0.54,0.08,0.83,0.43,0.69,0.51,0.4,0.51,0.31
g_1,3.04,2.96,3.59,2.7,4.3,4.61,0.73,0.81,0.79,0.05,0.61,0.65,0.7,0.47,,
b_0,2.09,3.93,1.97,,2.46,3.21,0.58,0.84,0.28,0.58,0.07,0.38,0.78,0.33,0.49,0.43
f_0,,2.89,3.76,2.11,2.13,2.32,0.97,0.48,0.44,0.43,0.5,0.06,,0.39,0.53,0.21
a_0,2.67,3.51,3.23,2.44,1.73,,0.74,0.87,0.46,0.7,0.23,,0.05,0.42,,0.34
h_0,1.69,1.54,1.7,2.03,1.6,1.86,,0.28,0.3,0.39,0.4,0.36,0.23,,0.32,0.26
e_0,3.11,2.68,,2.1,2.39,1.94,,0.54,0.46,,0.49,0.28,,0.39,0.04,0.24
g_0,2.18,1.59,2.33,2.18,2.02,1.44,0.33,0.34,0.3,,0.24,0.32,0.39,0.21,0.26,
