,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,93.44,67.98,82.72,144.25,183.8,361.75,9937.67,30478.18,20571.02,22753.7,32435.1,41411.12,146262.97,158303.53,146170.13,203052.17
f_1,78.15,108.73,80.21,110.42,145.32,312.19,9391.62,19678.7,19719.81,19408.46,28626.76,26455.61,104152.42,128404.17,114652.39,208963.54
d_1,50.13,63.51,139.13,74.73,149.95,326.45,9136.37,12291.35,29293.86,16802.67,28623.2,33419.04,115788.86,133944.35,141101.89,169135.97
c_1,37.9,51.81,77.03,166.91,230.49,315.76,7702.5,13959.94,11287.74,14824.14,19840.6,27353.62,100155.83,99558.25,129617.95,166212.46
b_1,35.88,48.98,63.33,70.73,233.58,476.1,7090.84,13477.75,15877.75,17690.39,17858.53,28057.28,88006.92,86480.54,121314.47,133626.33
a_1,32.06,46.17,48.77,64.22,76.03,450.43,6140.21,11856.29,10911.2,9016.35,16471.39,18107.72,72487.31,66090.03,99238.94,127948.94
h_1,12.39,20.09,23.4,25.96,37.48,74.9,3349.7,4389.29,5379.59,6296.56,6918.17,8850.32,26426.49,36521.8,34026.11,59961.26
d_0,9.81,14.15,15.02,35.0,35.72,70.37,1842.66,4788.01,3367.33,4122.78,5149.03,6991.16,26569.08,27264.99,31177.74,41636.26
c_0,11.47,15.55,16.32,18.7,30.11,75.67,2132.17,3701.77,5331.04,4173.17,8604.15,6995.38,24627.42,33068.52,31439.79,41787.48
g_1,8.77,11.69,25.64,20.91,25.26,78.41,1758.69,3168.31,3917.94,6171.86,5045.16,8960.99,21179.09,22367.39,36706.73,34392.98
b_0,10.12,12.09,16.54,22.04,23.5,57.57,1885.49,3437.4,3490.91,3924.99,6683.5,6470.18,23515.28,42816.11,28195.79,37241.48
f_0,7.26,10.16,16.68,21.23,25.3,66.07,1646.48,3241.51,3763.94,3376.23,5085.15,8240.29,23102.25,24717.43,46030.97,31583.52
h_0,6.23,9.64,10.33,13.53,20.26,39.33,1128.39,2136.61,2446.84,3254.64,3361.57,4223.45,12738.3,15785.25,19070.61,28845.29
a_0,6.19,7.67,10.16,11.62,17.19,24.96,1140.39,1816.33,2114.18,2540.36,2588.15,4189.92,14998.85,22535.23,15385.25,21936.69
e_0,4.56,8.14,9.75,10.78,17.72,36.52,1211.24,1947.54,2351.61,2113.42,3532.14,3443.31,12678.02,15782.07,25307.89,20846.95
g_0,5.07,5.72,11.97,10.8,17.09,31.54,903.73,1576.58,2140.65,1791.24,2955.05,4915.04,11843.51,16846.91,18122.44,17995.7
