,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.75,0.81,0.69,1.03,0.78,0.71,0.93,1.05,0.81,1.47,1.02,1.09,1.0,1.05,0.86,0.99
f_1,1.24,1.77,0.77,0.86,0.72,0.59,0.97,0.85,0.78,1.0,0.96,0.6,0.94,0.97,0.77,0.87
d_1,0.78,0.89,1.93,0.6,0.79,0.84,1.01,0.94,1.7,0.69,1.22,0.95,1.08,1.04,1.09,1.01
c_1,0.72,0.82,0.79,2.03,1.41,0.73,0.83,0.85,0.6,0.85,0.6,1.02,0.88,0.83,1.05,0.98
b_1,0.76,0.8,0.85,0.79,2.09,1.51,0.92,0.88,0.93,0.86,0.68,0.98,1.01,0.69,0.97,0.98
a_1,0.78,0.92,0.95,0.77,0.67,2.82,1.09,0.93,1.09,1.01,1.02,1.06,1.04,0.86,1.0,1.11
h_1,0.87,1.08,0.89,0.89,0.77,0.79,1.77,1.35,0.92,0.96,1.05,1.04,0.83,1.06,0.83,1.22
g_1,0.7,0.78,1.31,0.85,0.86,0.79,1.03,2.04,1.12,0.88,1.04,1.54,1.14,1.01,1.21,0.97
c_0,0.9,1.01,0.95,0.76,0.59,0.83,1.16,0.95,1.55,1.01,1.95,1.04,1.08,1.45,1.06,1.09
d_0,0.94,0.86,0.64,1.46,0.89,0.64,1.03,1.0,0.66,1.42,1.02,1.07,1.03,1.03,1.05,1.04
b_0,0.86,0.89,1.06,0.76,0.68,0.75,1.15,1.28,1.17,1.0,1.64,1.17,1.11,2.12,1.04,0.99
f_0,0.74,0.78,1.02,0.93,0.86,0.99,1.04,1.21,1.09,1.02,1.18,1.6,1.19,1.11,1.85,0.96
h_0,0.86,1.11,1.02,0.9,0.68,0.76,0.82,1.18,1.03,0.94,1.14,1.01,0.85,0.96,1.05,1.39
a_0,0.93,0.89,0.99,0.82,0.98,0.6,1.06,1.25,1.04,0.96,1.1,1.04,1.14,1.92,1.05,1.09
e_0,0.68,0.9,0.91,1.0,0.89,0.81,1.17,1.16,1.07,1.17,1.15,1.19,1.12,0.88,1.99,1.08
g_0,0.78,0.81,1.26,0.97,0.89,0.82,0.91,0.9,1.02,0.9,1.12,1.49,0.92,1.11,1.1,0.76
