,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.66,1.2,1.61,1.37,1.26,1.23,0.52,0.67,0.56,0.5,0.74,0.47,0.31,0.49,0.5,0.47
d_1,1.65,0.65,1.66,1.34,1.4,1.08,0.67,0.49,0.72,0.58,0.48,0.47,0.4,0.3,0.44,0.4
e_1,0.88,1.4,0.65,1.6,1.57,1.57,0.74,0.67,0.68,0.54,0.61,0.62,0.48,0.44,0.51,0.91
c_1,1.47,1.73,1.32,0.65,1.62,1.12,0.54,0.55,0.35,0.65,0.51,0.4,0.49,0.41,0.45,0.49
b_1,1.84,1.56,1.42,0.91,0.63,1.92,0.79,0.82,0.57,0.64,0.53,0.93,0.43,0.51,0.53,0.54
a_1,1.96,2.36,1.51,2.46,1.03,0.57,0.95,0.74,0.71,0.57,0.64,0.69,0.56,0.53,0.89,0.58
h_1,2.38,2.27,2.03,2.31,1.86,2.02,0.58,1.2,0.71,0.74,0.74,0.74,0.84,0.64,0.59,0.62
g_1,2.71,2.31,2.18,2.58,2.18,1.97,0.84,0.56,0.78,0.78,0.79,0.95,0.55,0.79,0.77,0.72
d_0,2.34,3.56,1.48,2.94,2.43,2.17,1.14,1.31,0.64,0.79,0.87,0.81,0.76,0.68,0.85,0.82
c_0,2.91,1.54,2.31,4.29,2.33,2.29,1.17,1.06,1.17,0.62,0.88,1.06,0.78,0.74,0.91,0.93
f_0,3.72,2.31,2.24,2.88,2.39,1.98,1.17,0.89,1.15,0.75,0.6,0.9,0.67,0.49,0.82,0.97
b_0,2.84,2.27,2.22,3.27,3.58,2.13,1.13,1.03,0.99,0.57,0.86,0.62,0.78,0.69,1.05,0.76
h_0,3.23,2.53,2.45,2.54,2.87,2.25,1.88,1.3,1.05,0.87,0.96,0.9,1.07,0.93,0.88,0.79
g_0,2.9,3.06,2.94,2.89,2.67,2.63,0.99,1.82,1.05,1.07,1.15,1.03,0.69,1.15,0.88,0.83
a_0,2.74,2.97,2.81,3.18,3.38,5.14,1.45,1.51,0.94,0.87,1.07,0.62,0.91,0.82,0.57,0.81
e_0,4.4,2.85,3.71,2.85,2.72,2.7,1.21,1.19,1.12,0.9,0.66,1.03,1.01,0.86,1.53,0.56
